Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
OG0002860	KOHALENSIS	PARANIGRA	184.8309721	294.3940396	239.6125059	-0.671310918	0.130515358	-5.143539636	2.70E-07	2.23E-06	TRINITY_GG_10048_c4_g1_i1.p1	Lko057S007475	21112	31945	+
OG0002861	KOHALENSIS	PARANIGRA	165.6841632	174.7814518	170.2328075	-0.079750606	0.119333374	-0.668300943	0.503941512	0.66909998	TRINITY_GG_1004_c0_g1_i5.p1	Lko057S005630	67477	111326	+
OG0002862	KOHALENSIS	PARANIGRA	5.178651746	6.696173147	5.937412446	-0.37175175	0.442205583	-0.840676291	0.400529306	0.577696869	TRINITY_GG_1006_c0_g2_i2.p1	Lko057S005630	217982	218473	+
OG0002863	KOHALENSIS	PARANIGRA	10.68373954	10.31544952	10.49959453	0.053583981	0.401858156	0.133340533	0.893924073	0.940676993	TRINITY_GG_10073_c0_g1_i1.p1	Lko057S011142	62045	66644	-
OG0002864	KOHALENSIS	PARANIGRA	275.5716637	321.0899948	298.3308292	-0.219770247	0.09865103	-2.227754197	0.025896911	0.075097147	TRINITY_GG_10087_c0_g2_i3.p1	Lko057S000789	82837	82952	+
OG0002865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_1008_c0_g1_i1.p1	Lko057S005630	1151382	1173728	+
OG0002866	KOHALENSIS	PARANIGRA	83.3783597	103.3304447	93.35440219	-0.310762154	0.186227007	-1.668727639	0.095171369	0.207313853	TRINITY_GG_1013_c0_g1_i2.p1	Lko057S005630	1053189	1078941	+
OG0002867	KOHALENSIS	PARANIGRA	23.0606785	26.77048081	24.91557965	-0.211530697	0.235741948	-0.897297657	0.369560107	0.545764826	TRINITY_GG_1013_c1_g1_i1.p1	Lko057S005630	1006627	1010321	-
OG0002868	KOHALENSIS	PARANIGRA	238.7645002	214.4536291	226.6090647	0.155153527	0.152959862	1.01434144	0.310419856	0.485572397	TRINITY_GG_10144_c0_g1_i1.p1	Lko057S000978	186978	189959	-
OG0002869	KOHALENSIS	PARANIGRA	36.16338382	24.32416388	30.24377385	0.563389573	0.208652356	2.700135209	0.00693113	0.025228372	TRINITY_GG_10159_c0_g1_i2.p1	Lko057S000091	818318	820448	-
OG0002870	KOHALENSIS	PARANIGRA	208.424694	263.9625032	236.1935986	-0.339101201	0.153213371	-2.213261149	0.026879646	0.077411455	TRINITY_GG_10159_c1_g1_i1.p1	Lko057S000091	842299	842964	+
OG0002871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_1015_c0_g1_i2.p2	Lko057S005630	763823	764652	+
OG0002872	KOHALENSIS	PARANIGRA	82.27616232	89.68374352	85.97995292	-0.118882351	0.209981317	-0.566156802	0.571287192	0.725230125	TRINITY_GG_1015_c0_g1_i2.p1	Lko057S005630	767978	799382	-
OG0002873	KOHALENSIS	PARANIGRA	350.3752158	350.5420051	350.4586105	-0.001833855	0.094373794	-0.019431829	0.98449662	0.990756871	TRINITY_GG_10160_c0_g1_i29.p3	Lko057S000091	531779	532726	+
OG0002874	KOHALENSIS	PARANIGRA	280.5888044	339.2970848	309.9429446	-0.276777045	0.109845483	-2.519694363	0.011745677	0.039146844	TRINITY_GG_10160_c0_g1_i29.p2	Lko057S000091	540009	547827	-
OG0002875	KOHALENSIS	PARANIGRA	520.2088012	664.7883599	592.4985805	-0.354517618	0.095577982	-3.709197575	2.08E-04	0.001138408	TRINITY_GG_10160_c0_g1_i29.p1	Lko057S000091	532880	539296	-
OG0002876	KOHALENSIS	PARANIGRA	1326.510696	1348.53821	1337.524453	-0.023205136	0.096210767	-0.241190639	0.809407366	0.892927826	TRINITY_GG_10160_c1_g1_i21.p1	Lko057S000091	608421	616795	-
OG0002877	KOHALENSIS	PARANIGRA	74.40961168	85.98149487	80.19555328	-0.21196531	0.229505717	-0.923573113	0.355708618	0.533219886	TRINITY_GG_10160_c2_g2_i5.p1	Lko057S000091	5918	151654	-
OG0002878	KOHALENSIS	PARANIGRA	283.2287373	365.0480973	324.1384173	-0.365253213	0.135046213	-2.704653506	0.006837567	0.024953755	TRINITY_GG_10160_c3_g1_i15.p2	Lko057S000091	503583	504877	+
OG0002879	KOHALENSIS	PARANIGRA	295.7852753	315.8503851	305.8178302	-0.095005574	0.125877583	-0.754745778	0.450401533	0.620976244	TRINITY_GG_10160_c3_g1_i15.p1	Lko057S000091	507728	531274	-
OG0002880	KOHALENSIS	PARANIGRA	198.307891	207.0940273	202.7009592	-0.064103372	0.108456043	-0.591053943	0.554484278	0.712370074	TRINITY_GG_10160_c4_g1_i4.p1	Lko057S000091	559365	560077	-
OG0002881	KOHALENSIS	PARANIGRA	67.59829932	70.60518917	69.10174425	-0.071509047	0.196868857	-0.363231891	0.716431666	0.830468157	TRINITY_GG_10161_c0_g1_i10.p1	Lko057S000091	623822	641057	-
OG0002882	KOHALENSIS	PARANIGRA	374.8582124	378.0948126	376.4765125	-0.013789093	0.198846987	-0.069345243	0.944714814	0.969952254	TRINITY_GG_10162_c0_g2_i5.p1	Lko057S000091	972867	1252997	+
OG0002883	KOHALENSIS	PARANIGRA	68.60283179	16.24584859	42.42434019	2.085148595	0.208182361	10.0159715	1.30E-23	2.80E-22	TRINITY_GG_10162_c1_g1_i1.p1	Lko057S000091	958490	958936	+
OG0002884	KOHALENSIS	PARANIGRA	53.84104516	110.5871253	82.21408522	-1.039997552	0.234694225	-4.431287359	9.37E-06	6.40E-05	TRINITY_GG_10162_c2_g1_i2.p1	Lko057S000091	945607	952566	+
OG0002885	KOHALENSIS	PARANIGRA	50.6260121	28.99809965	39.81205587	0.807437063	0.298040192	2.709154952	0.006745483	0.024690754	TRINITY_GG_10167_c0_g1_i1.p1	Lko057S000192	82187	82783	-
OG0002887	KOHALENSIS	PARANIGRA	195.4538354	178.4070864	186.9304609	0.130398475	0.16786234	0.776817927	0.437266198	0.609876397	TRINITY_GG_10170_c0_g1_i2.p1	Lko057S000192	856	2073	-
OG0002888	KOHALENSIS	PARANIGRA	163.3919254	150.8684201	157.1301728	0.11271237	0.167313045	0.673661577	0.500526495	0.666125116	TRINITY_GG_10172_c1_g1_i2.p1	Lko057S000192	455315	461043	-
OG0002889	KOHALENSIS	PARANIGRA	22.62692314	15.94824019	19.28758167	0.495560466	0.367586543	1.348146378	0.177611307	0.326943151	TRINITY_GG_10172_c2_g1_i6.p1	Lko057S000192	191301	192326	-
OG0002890	KOHALENSIS	PARANIGRA	325.7036856	300.9758705	313.339778	0.114816123	0.119536679	0.960509558	0.336798823	0.512776607	TRINITY_GG_10172_c3_g1_i1.p1	Lko057S000192	251532	253067	-
OG0002891	KOHALENSIS	PARANIGRA	274.6363879	358.103994	316.3701909	-0.380256016	0.136996736	-2.775657483	0.005509021	0.020797957	TRINITY_GG_10177_c0_g1_i1.p1	Lko057S000417	262173	264381	+
OG0002892	KOHALENSIS	PARANIGRA	41.2619394	44.03511344	42.64852642	-0.106357166	0.253407994	-0.419707226	0.674699346	0.801907963	TRINITY_GG_10182_c0_g1_i2.p1	Lko057S000425	277745	279470	-
OG0002893	KOHALENSIS	PARANIGRA	17.91624945	6.314379313	12.11531438	1.508909962	0.518067242	2.912575512	0.003584615	0.014419216	TRINITY_GG_10191_c0_g1_i2.p1	Lko057S001095	420945	424498	+
OG0002894	KOHALENSIS	PARANIGRA	224.9190901	241.7109861	233.3150381	-0.100247829	0.134545431	-0.745085345	0.456220128	0.62608518	TRINITY_GG_10197_c0_g1_i21.p2	Lko057S001095	321267	321886	+
OG0002895	KOHALENSIS	PARANIGRA	411.983857	355.1492521	383.5665546	0.21502029	0.099244837	2.166563993	0.030268115	0.085334845	TRINITY_GG_10197_c0_g1_i21.p1	Lko057S001095	277280	320580	-
OG0002896	KOHALENSIS	PARANIGRA	248.6670031	125.2301924	186.9485977	0.987863816	0.111278366	8.877411256	6.84E-19	1.22E-17	TRINITY_GG_10197_c1_g1_i2.p1	Lko057S001095	11002	83418	-
OG0002897	KOHALENSIS	PARANIGRA	145.6303116	140.0534197	142.8418656	0.053348524	0.110479747	0.482880582	0.62918053	0.769282104	TRINITY_GG_10197_c2_g2_i9.p1	Lko057S001095	262598	270591	+
OG0002898	KOHALENSIS	PARANIGRA	160.7973943	126.8947852	143.8460897	0.33634691	0.163049004	2.062857798	0.039126141	0.104909413	TRINITY_GG_10197_c3_g1_i1.p1	Lko057S001095	327531	331885	-
OG0002899	KOHALENSIS	PARANIGRA	1363.062419	1152.002706	1257.532562	0.242480119	0.100131572	2.421615016	0.01545171	0.048895764	TRINITY_GG_10200_c0_g1_i3.p1	Lko057S004167	5731	23327	-
OG0002900	KOHALENSIS	PARANIGRA	1438.248805	1553.495558	1495.872182	-0.111137389	0.075792947	-1.466328906	0.142558704	0.27938029	TRINITY_GG_10200_c0_g1_i3.p2	Lko057S004167	24097	29106	+
OG0002901	KOHALENSIS	PARANIGRA	144.2646184	196.6296362	170.4471273	-0.444174154	0.101640169	-4.370065077	1.24E-05	8.30E-05	TRINITY_GG_10200_c0_g1_i3.p3	Lko057S004167	29381	30238	-
OG0002903	KOHALENSIS	PARANIGRA	3844.050918	4852.167657	4348.109287	-0.336032614	0.110083731	-3.052518404	0.002269298	0.009681669	TRINITY_GG_10204_c0_g1_i1.p1	Lko057S004289	259429	260784	+
OG0002904	KOHALENSIS	PARANIGRA	114.0055454	106.1964803	110.1010128	0.100222675	0.173063169	0.579110367	0.562514705	0.718094372	TRINITY_GG_10207_c0_g2_i1.p2	Lko057S008165	42	3543	+
OG0002905	KOHALENSIS	PARANIGRA	60.49324061	81.49006728	70.99165394	-0.427539404	0.185243337	-2.307988027	0.020999802	0.062921098	TRINITY_GG_10210_c0_g1_i9.p2	Lko057S001353	30667	33373	+
OG0002906	KOHALENSIS	PARANIGRA	2188.538705	2334.492572	2261.515638	-0.093114245	0.118548999	-0.78544944	0.432190103	0.605546621	TRINITY_GG_10210_c1_g1_i4.p1	Lko057S001353	127751	163159	-
OG0002907	KOHALENSIS	PARANIGRA	675.1251208	559.3214648	617.2232928	0.2711326	0.188250312	1.440277026	0.149789039	0.289896811	TRINITY_GG_10210_c1_g1_i4.p2	Lko057S001353	164236	184397	-
OG0002908	KOHALENSIS	PARANIGRA	163.910875	105.6702621	134.7905685	0.637709729	0.129018064	4.94279412	7.70E-07	6.08E-06	TRINITY_GG_10210_c2_g1_i2.p1	Lko057S001353	58750	60366	+
OG0002909	KOHALENSIS	PARANIGRA	10.07910488	13.32093124	11.70001806	-0.39935113	0.316889989	-1.260220087	0.207589978	0.364122717	TRINITY_GG_10210_c30_g1_i1.p1	Lko057S001353	297188	297613	-
OG0002910	KOHALENSIS	PARANIGRA	149.6614694	144.765714	147.2135917	0.046090565	0.114418968	0.402822763	0.687078614	0.809483382	TRINITY_GG_10210_c31_g1_i1.p1	Lko057S001353	13026	13856	+
OG0002911	KOHALENSIS	PARANIGRA	98.2078112	83.6360108	90.921911	0.226102211	0.131289304	1.722167793	0.085039127	0.190242985	TRINITY_GG_10210_c4_g1_i6.p1	Lko057S001353	53764	55074	-
OG0002912	KOHALENSIS	PARANIGRA	52.96956813	58.5380941	55.75383111	-0.143833261	0.191293075	-0.751899991	0.452111204	0.622395235	TRINITY_GG_10210_c6_g1_i1.p1	Lko057S001353	35605	44035	-
OG0002913	KOHALENSIS	PARANIGRA	78.65071984	114.2108733	96.43079658	-0.539999791	0.208368958	-2.591555842	0.009554303	0.033066258	TRINITY_GG_10214_c0_g1_i2.p1	Lko057S001953	197539	235554	+
OG0002914	KOHALENSIS	PARANIGRA	129.35239	118.1350133	123.7437016	0.136410548	0.14745181	0.925119522	0.354903739	0.532355609	TRINITY_GG_10218_c21_g1_i1.p1	Lko057S002041	991936	992394	+
OG0002915	KOHALENSIS	PARANIGRA	67.14109808	74.1707766	70.65593734	-0.143070828	0.19236842	-0.743733447	0.457037751	0.626939535	TRINITY_GG_10222_c0_g1_i1.p1	Lko057S002041	325010	325909	+
OG0002916	KOHALENSIS	PARANIGRA	139.1296557	159.6439436	149.3867997	-0.194755567	0.142324728	-1.368388827	0.1711904	0.31775728	TRINITY_GG_10228_c0_g1_i1.p1	Lko057S002041	763337	763762	+
OG0002917	KOHALENSIS	PARANIGRA	20.47074296	21.09361902	20.78218099	-0.040037043	0.250814473	-0.15962812	0.873174026	0.928036151	TRINITY_GG_10228_c1_g1_i1.p1	Lko057S002041	636775	639225	-
OG0002918	KOHALENSIS	PARANIGRA	11.13069442	9.540591033	10.33564272	0.195897857	0.392189199	0.499498347	0.617428351	0.760312153	TRINITY_GG_10229_c0_g1_i1.p1	Lko057S002041	348211	349464	-
OG0002919	KOHALENSIS	PARANIGRA	141.2226196	244.6742606	192.9484401	-0.792200533	0.116415163	-6.804960055	1.01E-11	1.21E-10	TRINITY_GG_10247_c0_g1_i8.p1	Lko057S003101	83058	87134	-
OG0002920	KOHALENSIS	PARANIGRA	36.83419494	41.65356234	39.24387864	-0.181095133	0.253428913	-0.714579607	0.47486885	0.643651998	TRINITY_GG_10250_c1_g1_i4.p1	Lko057S003101	143897	285456	-
OG0002921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_10250_c1_g1_i4.p3	Lko057S003101	143565	143900	-
OG0002922	KOHALENSIS	PARANIGRA	18.27106856	25.141392	21.70623028	-0.476225395	0.340322471	-1.399335733	0.161712329	0.305911375	TRINITY_GG_10260_c0_g1_i2.p1	Lko057S008772	37906	38478	-
OG0002923	KOHALENSIS	PARANIGRA	94.94417518	98.43986181	96.69201849	-0.056586577	0.191776921	-0.29506458	0.767944547	0.866127187	TRINITY_GG_10260_c1_g1_i3.p1	Lko057S008772	46018	47109	+
OG0002924	KOHALENSIS	PARANIGRA	2135.321078	2234.87918	2185.100129	-0.065324731	0.076218568	-0.85707109	0.391405597	0.568192227	TRINITY_GG_10262_c0_g1_i4.p1	Lko057S002922	8700	18000	+
OG0002925	KOHALENSIS	PARANIGRA	38.57867202	93.75749398	66.168083	-1.287040579	0.229944342	-5.597183066	2.18E-08	2.01E-07	TRINITY_GG_10262_c2_g1_i8.p1	Lko057S002922	37950	56735	-
OG0002926	KOHALENSIS	PARANIGRA	811.1097954	829.9137507	820.5117731	-0.032183015	0.120865076	-0.266272245	0.790029547	0.879513323	TRINITY_GG_10277_c0_g1_i14.p1	Lko057S005077	28982	29878	-
OG0002927	KOHALENSIS	PARANIGRA	1958.602525	2178.502022	2068.552273	-0.153069772	0.107695457	-1.421320602	0.155223577	0.297607025	TRINITY_GG_10287_c1_g1_i1.p1	Lko057S006241	133499	134476	+
OG0002928	KOHALENSIS	PARANIGRA	503.9709796	504.9460652	504.4585224	-0.003855111	0.183842452	-0.020969647	0.983269868	0.990046791	TRINITY_GG_10289_c0_g1_i2.p1	Lko057S006511	124960	151243	-
OG0002929	KOHALENSIS	PARANIGRA	3501.936579	3095.371471	3298.654025	0.177951774	0.11283286	1.577127216	0.114766256	0.23817827	TRINITY_GG_10289_c7_g1_i3.p1	Lko057S006511	27387	79770	+
OG0002930	KOHALENSIS	PARANIGRA	4.825620691	7.629860488	6.22774059	-0.661900564	0.513058579	-1.290107194	0.197013442	0.351193125	TRINITY_GG_1028_c1_g1_i3.p1	Lko057S006790	5326	49114	+
OG0002931	KOHALENSIS	PARANIGRA	32.42359615	31.13222035	31.77790825	0.052559388	0.247515421	0.212347933	0.831835603	0.905004592	TRINITY_GG_10293_c0_g1_i3.p1	Lko057S006997	14724	61956	-
OG0002932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_1030_c0_g1_i1.p1	Lko057S004156	45423	45767	-
OG0002933	KOHALENSIS	PARANIGRA	373.2596733	396.8181453	385.0389093	-0.086843847	0.112631842	-0.771041702	0.440682214	0.612977772	TRINITY_GG_1031_c0_g1_i8.p1	Lko057S009750	192367	203338	+
OG0002934	KOHALENSIS	PARANIGRA	104.9051382	341.5107756	223.2079569	-1.700805496	0.141262026	-12.04007579	2.19E-33	6.67E-32	TRINITY_GG_10321_c1_g2_i5.p2	Lko057S000558	1882079	1911909	+
OG0002935	KOHALENSIS	PARANIGRA	391.2626206	381.9984326	386.6305266	0.033814911	0.065945903	0.512767431	0.608114015	0.753002305	TRINITY_GG_10321_c1_g2_i5.p1	Lko057S000558	1874018	1881025	-
OG0002936	KOHALENSIS	PARANIGRA	58.8370971	65.0020993	61.9195982	-0.146548151	0.218268997	-0.671410749	0.501958899	0.667478652	TRINITY_GG_10321_c3_g1_i24.p1	Lko057S000558	1820303	1828356	+
OG0002937	KOHALENSIS	PARANIGRA	50.33335709	39.18996421	44.76166065	0.355715096	0.191518728	1.857338444	0.063263018	0.151699085	TRINITY_GG_10323_c0_g2_i4.p1	Lko057S000558	1395791	1396312	-
OG0002938	KOHALENSIS	PARANIGRA	78.96849631	72.38746771	75.67798201	0.128585143	0.154251845	0.833605222	0.404503482	0.581341865	TRINITY_GG_10324_c0_g1_i1.p1	Lko057S000558	1800650	1801435	+
OG0002939	KOHALENSIS	PARANIGRA	266.8697478	233.2003554	250.0350516	0.191532887	0.09448654	2.027091773	0.042653028	0.112151758	TRINITY_GG_10325_c0_g1_i11.p1	Lko057S000558	429314	455929	-
OG0002940	KOHALENSIS	PARANIGRA	53.23926	29.76466651	41.50196325	0.823003842	0.270156785	3.046393382	0.002316046	0.009850602	TRINITY_GG_10325_c1_g1_i22.p1	Lko057S000558	720572	730642	-
OG0002941	KOHALENSIS	PARANIGRA	77.79949357	76.99584686	77.39767021	0.00949862	0.210469568	0.045130612	0.964003202	0.979340309	TRINITY_GG_10325_c2_g1_i8.p2	Lko057S000558	142605	156849	-
OG0002942	KOHALENSIS	PARANIGRA	133.301889	166.8756623	150.0887756	-0.327154531	0.153014138	-2.138067338	0.032511278	0.090454042	TRINITY_GG_10325_c4_g1_i20.p1	Lko057S000558	56517	383462	+
OG0002943	KOHALENSIS	PARANIGRA	147.1106442	148.2785708	147.6946075	-0.014485317	0.108175138	-0.133906159	0.89347678	0.940676993	TRINITY_GG_10325_c4_g4_i4.p1	Lko057S000558	389554	391569	-
OG0002944	KOHALENSIS	PARANIGRA	223.9841557	209.7604482	216.8723019	0.092316454	0.189117788	0.48814263	0.625448818	0.766310681	TRINITY_GG_10328_c0_g1_i49.p1	Lko057S000558	1612353	1637558	+
OG0002945	KOHALENSIS	PARANIGRA	621.5964062	482.4703932	552.0333997	0.365634458	0.112643553	3.24594216	0.001170626	0.005421315	TRINITY_GG_10328_c13_g1_i10.p1	Lko057S000558	1725701	1737002	+
OG0002946	KOHALENSIS	PARANIGRA	315.3368242	364.419373	339.8780986	-0.210677919	0.157572738	-1.337020109	0.181216073	0.33174205	TRINITY_GG_10328_c2_g1_i11.p1	Lko057S000558	1701769	1720812	+
OG0002947	KOHALENSIS	PARANIGRA	43.85330381	49.56100034	46.70715207	-0.185992308	0.185649941	-1.001844153	0.316418868	0.490894727	TRINITY_GG_10330_c0_g1_i4.p1	Lko057S000558	1744536	1791690	-
OG0002948	KOHALENSIS	PARANIGRA	140.4251273	110.3636109	125.3943691	0.351547299	0.127272659	2.762158832	0.005742054	0.021534992	TRINITY_GG_10331_c2_g1_i9.p2	Lko057S000879	221615	222354	+
OG0002949	KOHALENSIS	PARANIGRA	1475.715591	1497.992156	1486.853874	-0.021866264	0.076687422	-0.285134945	0.775540759	0.870621026	TRINITY_GG_10331_c2_g1_i9.p1	Lko057S000879	219483	221141	-
OG0002950	KOHALENSIS	PARANIGRA	2075.226168	2382.543286	2228.884727	-0.198686043	0.102695323	-1.934713648	0.053025445	0.13282131	TRINITY_GG_10332_c0_g1_i2.p1	Lko057S000879	674299	681525	+
OG0002951	KOHALENSIS	PARANIGRA	195.8927038	161.9318201	178.912262	0.273251704	0.432574171	0.631687517	0.527591087	0.689926462	TRINITY_GG_10332_c14_g1_i16.p1	Lko057S000879	375803	576719	+
OG0002952	KOHALENSIS	PARANIGRA	565.6025287	596.1092803	580.8559045	-0.074615257	0.143139863	-0.521275175	0.602175092	0.74856002	TRINITY_GG_10332_c2_g1_i1.p1	Lko057S000879	697866	701818	+
OG0002953	KOHALENSIS	PARANIGRA	76.1062352	95.83666853	85.97145186	-0.330279019	0.189393767	-1.743874811	0.081180922	0.183484868	TRINITY_GG_10332_c3_g1_i15.p1	Lko057S000879	769898	780731	+
OG0002954	KOHALENSIS	PARANIGRA	51.7069201	45.98001221	48.84346616	0.174277749	0.196913162	0.88504876	0.376130334	0.553011387	TRINITY_GG_10332_c4_g1_i2.p1	Lko057S000879	581781	585435	+
OG0002955	KOHALENSIS	PARANIGRA	198.1621879	97.66202262	147.9121052	1.022399681	0.127736711	8.00396125	1.20E-15	1.80E-14	TRINITY_GG_10332_c6_g1_i8.p1	Lko057S000879	591273	594397	-
OG0002956	KOHALENSIS	PARANIGRA	1101.512867	1170.01063	1135.761748	-0.087255119	0.076838838	-1.135560117	0.256140708	0.423620705	TRINITY_GG_10332_c9_g1_i13.p1	Lko057S000879	671462	672886	-
OG0002957	KOHALENSIS	PARANIGRA	1046.315828	459.3780222	752.8469253	1.186795241	0.16070249	7.385045743	1.52E-13	2.02E-12	TRINITY_GG_1033_c0_g1_i55.p1	Lko057S009750	21873	56539	-
OG0002958	KOHALENSIS	PARANIGRA	376.3383445	402.3534689	389.3459067	-0.097969644	0.104513704	-0.937385631	0.34856023	0.525538348	TRINITY_GG_1033_c2_g1_i1.p1	Lko057S000615	348512	348561	+
OG0002959	KOHALENSIS	PARANIGRA	4999.818564	5229.498579	5114.658572	-0.064704221	0.094939392	-0.68153187	0.495535008	0.662043217	TRINITY_GG_1033_c3_g1_i1.p1	Lko057S009750	4514	21642	-
OG0002960	KOHALENSIS	PARANIGRA	46.34353041	54.87148348	50.60750694	-0.239934907	0.215885049	-1.111401223	0.266395686	0.435723021	TRINITY_GG_10368_c1_g1_i1.p1	Lko057S004054	378398	378454	-
OG0002961	KOHALENSIS	PARANIGRA	677.1300018	541.3611355	609.2455687	0.322806203	0.099873506	3.232150494	0.001228623	0.005651902	TRINITY_GG_10370_c0_g1_i4.p1	Lko057S000818	581206	672801	+
OG0002962	KOHALENSIS	PARANIGRA	228.3923479	238.7922546	233.5923013	-0.06388208	0.135218884	-0.472434609	0.636616606	0.775816142	TRINITY_GG_10385_c0_g1_i1.p1	Lko057S000537	5001	9017	+
OG0002963	KOHALENSIS	PARANIGRA	233.243697	360.263421	296.753559	-0.62676226	0.108890615	-5.755888678	8.62E-09	8.24E-08	TRINITY_GG_10385_c0_g2_i3.p2	Lko057S000537	18991	41396	+
OG0002964	KOHALENSIS	PARANIGRA	42.51857184	38.97615169	40.74736177	0.113454664	0.182173951	0.622782036	0.533427765	0.69453326	TRINITY_GG_10387_c0_g2_i1.p1	Lko057C126031	338	531	-
OG0002965	KOHALENSIS	PARANIGRA	67.18641097	77.19205657	72.18923377	-0.20448568	0.164056533	-1.246434241	0.212605017	0.370434462	TRINITY_GG_10396_c0_g1_i54.p2	Lko057S002310	264106	268020	+
OG0002966	KOHALENSIS	PARANIGRA	64.48516619	113.17593	88.83054809	-0.809353935	0.153191237	-5.28329133	1.27E-07	1.08E-06	TRINITY_GG_10396_c0_g1_i54.p1	Lko057S002310	245876	257427	+
OG0002967	KOHALENSIS	PARANIGRA	79.71386989	88.2551497	83.98450979	-0.153234726	0.165324513	-0.926872385	0.353992797	0.531485292	TRINITY_GG_10396_c1_g1_i5.p1	Lko057S002310	236520	242120	+
OG0002968	KOHALENSIS	PARANIGRA	81.85478623	113.0034961	97.42914115	-0.467825192	0.188010634	-2.488291122	0.012835861	0.042002156	TRINITY_GG_10397_c0_g3_i7.p1	Lko057S002310	70409	87418	+
OG0002969	KOHALENSIS	PARANIGRA	65.82998362	75.38839822	70.60919092	-0.198520152	0.211398479	-0.939080323	0.347689506	0.52471783	TRINITY_GG_10397_c1_g1_i1.p1	Lko057S002310	121970	129664	+
OG0002970	KOHALENSIS	PARANIGRA	49.56311617	52.93448864	51.24880241	-0.094961617	0.20316001	-0.467422781	0.640197427	0.7785072	TRINITY_GG_10397_c3_g1_i3.p1	Lko057S002310	34345	53127	-
OG0002971	KOHALENSIS	PARANIGRA	2293.714154	2515.733436	2404.723795	-0.133324799	0.298216822	-0.447073369	0.654822087	0.78922432	TRINITY_GG_103_c1_g1_i5.p1	Lko057S000368	290686	330587	+
OG0002972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRINITY_GG_10400_c0_g1_i1.p3	Lko057S002310	6347	6664	-
