Entry_Name	Entry	Protein names	Gene Names	Organism	Gene Ontology IDs	Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
DNJC7_HUMAN	Q99615	"DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2, TPR repeat protein 2)"	DNAJC7 TPR2 TTC2	Homo sapiens (Human)	GO:0001671; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006457; GO:0016020; GO:0031072; GO:0051085; GO:0070062; GO:1900034	OG0009299	NEOSPISA	SPISA	282.7924491	1238.43682	728.7598221	-2.135300374	0.078830186	-27.087344	1.39E-161	1.03E-158	TRINITY_GG_30936_c0_g1_i7.p2	Lko057S001992	317847	324068	-
NA	NA	NA	NA	NA	NA	OG0004329	NEOSPISA	SPISA	3535.128475	284.0502484	2017.958636	3.639887793	0.136659472	26.63472745	2.69E-156	1.86E-153	TRINITY_GG_1473_c0_g2_i1.p2	Lko057S003252	51106	65298	-
NA	NA	NA	NA	NA	NA	OG0010321	NEOSPISA	SPISA	2466.186925	341.3072858	1474.576426	2.854688555	0.109394492	26.09535923	4.12E-150	2.65E-147	TRINITY_GG_3414_c0_g1_i20.p1	Lko057S000933	83212	90637	-
F10A1_PONAB	Q5RF31	"Hsc70-interacting protein, Hip (Protein FAM10A1) (Protein ST13 homolog)"	ST13 FAM10A1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	GO:0005737; GO:0046983	OG0008941	NEOSPISA	SPISA	173.7534799	969.7490979	545.2181016	-2.476891362	0.095908984	-25.82543631	4.59E-147	2.77E-144	TRINITY_GG_29933_c11_g1_i9.p1	Lko057S000494	1106107	1176721	+
DDX41_DROME	Q9V3C0	"ATP-dependent RNA helicase abstrakt, DEAD box protein abstrakt, EC 3.6.4.13"	abs CG14637	Drosophila melanogaster (Fruit fly)	GO:0000398; GO:0003723; GO:0003724; GO:0004386; GO:0005524; GO:0005681; GO:0008270; GO:0016887; GO:0071011; GO:0071013	OG0012551	NEOSPISA	SPISA	106.2946208	605.5178092	339.265442	-2.522441671	0.097786502	-25.79539725	9.99E-147	5.67E-144	TRINITY_GG_8444_c1_g1_i14.p1	Lko057S000920	113217	128384	-
NA	NA	NA	NA	NA	NA	OG0003343	NEOSPISA	SPISA	24.83356232	1159.436698	554.3150255	-5.524676802	0.216060702	-25.57002154	3.29E-144	1.76E-141	TRINITY_GG_11658_c2_g1_i15.p1	Lko057S002196	105547	158026	-
ATPO_DROME	Q24439	"ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein, OSCP)"	ATPsynO Oscp CG4307	Drosophila melanogaster (Fruit fly)	GO:0000274; GO:0005739; GO:0015986; GO:0042776; GO:0045261; GO:0046933; GO:1902600	OG0005401	NEOSPISA	SPISA	220.2757606	1525.112841	829.1997315	-2.790709267	0.113602194	-24.56562817	2.94E-133	1.50E-130	TRINITY_GG_18313_c1_g1_i2.p1	Lko057S000115	376737	378167	+
ERCC3_DROME	Q02870	"General transcription and DNA repair factor IIH helicase subunit XPB, TFIIH subunit XPB, EC 3.6.4.12 (ATP-dependent DNA helicase hay) (DNA excision repair protein haywire) (ERCC-3 homolog protein) (ERCC3Dm)"	hay ERCC3 CG8019	Drosophila melanogaster (Fruit fly)	GO:0000112; GO:0001111; GO:0001113; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005675; GO:0006289; GO:0006366; GO:0006367; GO:0009411; GO:0016887; GO:0033683; GO:0043138; GO:0097550	OG0003289	NEOSPISA	SPISA	1427.848595	158.1678382	835.3309084	3.179217754	0.130019874	24.45178309	4.82E-132	2.33E-129	TRINITY_GG_11455_c1_g1_i6.p1	Lko057S004132	242225	262267	-
THOC3_BOVIN	Q29RH4	"THO complex subunit 3, Tho3"	THOC3	Bos taurus (Bovine)	GO:0000445; GO:0000781; GO:0003723; GO:0006397; GO:0006406; GO:0008380; GO:0016607; GO:0046784	OG0006771	NEOSPISA	SPISA	27.22169045	286.3941661	148.1688457	-3.377383515	0.138564077	-24.37416376	3.21E-131	1.48E-128	TRINITY_GG_22769_c0_g1_i108.p1	Lko057S000600	299947	301243	+
BAP60_DROME	Q9VYG2	Brahma-associated protein of 60 kDa (BRM-associated protein 60)	Bap60 CG4303	Drosophila melanogaster (Fruit fly)	GO:0000791; GO:0003677; GO:0003712; GO:0005634; GO:0006357; GO:0007406; GO:0008134; GO:0010628; GO:0016514; GO:0017022; GO:0019904; GO:0031453; GO:0035060; GO:0045893; GO:0061629; GO:0071564; GO:0071565	OG0012863	NEOSPISA	SPISA	159.8169574	665.7589466	395.923219	-2.059913248	0.085729833	-24.027963	1.42E-127	6.23E-125	TRINITY_GG_9483_c3_g1_i23.p1	Lko057S000914	1285768	1287462	+
NA	NA	NA	NA	NA	NA	OG0003983	NEOSPISA	SPISA	453.5700719	61.33617725	270.5275877	2.881825017	0.120334842	23.94838419	9.61E-127	4.03E-124	TRINITY_GG_134_c0_g1_i3.p3	Lko057S001809	94905	96356	-
DERL2_MOUSE	Q8BNI4	Derlin-2 (Degradation in endoplasmic reticulum protein 2) (Der1-like protein 2) (F-LANa)	Derl2 Der2 Flana	Mus musculus (Mouse)	GO:0000839; GO:0001967; GO:0005047; GO:0005769; GO:0005770; GO:0005783; GO:0008284; GO:0030176; GO:0030307; GO:0030433; GO:0030968; GO:0030970; GO:0044877; GO:0051787; GO:1904153	OG0010655	NEOSPISA	SPISA	410.7750482	29.34844275	232.7759657	3.824265492	0.160730036	23.79309789	3.94E-125	1.58E-122	TRINITY_GG_35127_c1_g2_i27.p3	Lko057S001242	547398	548641	+
DLP1_MOUSE	Q33DR3	"All trans-polyprenyl-diphosphate synthase PDSS2 (All-trans-decaprenyl-diphosphate synthase subunit 2, EC 2.5.1.91) (Decaprenyl-diphosphate synthase subunit 2) (Solanesyl-diphosphate synthase subunit 2)"	Pdss2 Dlp1	Mus musculus (Mouse)	GO:0000010; GO:0004659; GO:0005739; GO:0005829; GO:0006744; GO:0008299; GO:0021549; GO:0046982; GO:0050347; GO:0050878; GO:0097269; GO:1990234	OG0009926	NEOSPISA	SPISA	636.2786858	171.4886199	419.376655	1.890591005	0.080024674	23.62510113	2.13E-123	8.22E-121	TRINITY_GG_32957_c4_g1_i2.p1	Lko057S000631	135555	139160	+
FBX28_BOVIN	Q2NL16	F-box only protein 28	FBXO28	Bos taurus (Bovine)	GO:0000209; GO:0000776; GO:0042802	OG0008344	NEOSPISA	SPISA	8.759188941	266.0654772	128.8354568	-4.972256826	0.212323751	-23.41827895	2.78E-121	1.03E-118	TRINITY_GG_27757_c1_g1_i1.p2	Lko057S006758	1570	2055	+
OGA_MOUSE	Q9EQQ9	"Protein O-GlcNAcase, OGA, EC 3.2.1.169 (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Bifunctional protein NCOAT) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase)"	Oga Hexc Kiaa0679 Mgea5	Mus musculus (Mouse)	GO:0004402; GO:0005634; GO:0005739; GO:0005829; GO:0006044; GO:0006517; GO:0006612; GO:0009100; GO:0010524; GO:0010616; GO:0016231; GO:0031343; GO:0032024; GO:0043243; GO:0045862; GO:0046060; GO:0046326; GO:0051054; GO:0051901; GO:0051928; GO:0060051; GO:0060124; GO:0070265; GO:0102166; GO:0102167; GO:0102571	OG0004155	NEOSPISA	SPISA	551.6675612	61.56405176	322.9525901	3.173688561	0.135619352	23.4014432	4.13E-121	1.48E-118	TRINITY_GG_14075_c8_g1_i14.p1	Lko057S004304	244795	270037	+
PDE8_DROME	Q6NNF2	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8, EC 3.1.4.53 (Phosphodiesterase 8)"	Pde8 CG45019 CG5411	Drosophila melanogaster (Fruit fly)	GO:0004114; GO:0004115; GO:0006198; GO:0007165; GO:0007498; GO:0046058; GO:0046872; GO:0070374; GO:1903206	OG0004198	NEOSPISA	SPISA	1049.544246	217.5999789	661.3035879	2.268392597	0.097907977	23.16861891	9.44E-119	3.26E-116	TRINITY_GG_14233_c0_g1_i10.p1	Lko057S000137	19223	48154	-
GOGA2_MOUSE	Q921M4	"Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein, GM130)"	Golga2	Mus musculus (Mouse)	GO:0000137; GO:0000139; GO:0000922; GO:0005737; GO:0005794; GO:0005801; GO:0005829; GO:0005874; GO:0006486; GO:0006888; GO:0007020; GO:0007030; GO:0007098; GO:0007409; GO:0008017; GO:0008356; GO:0015031; GO:0019901; GO:0019905; GO:0030134; GO:0032580; GO:0032991; GO:0033116; GO:0042802; GO:0043025; GO:0044877; GO:0048471; GO:0050772; GO:0051225; GO:0051289; GO:0051645; GO:0061676; GO:0072686; GO:0090161; GO:0090166; GO:0090306; GO:0090307	OG0004057	NEOSPISA	SPISA	83.75540145	492.4983983	274.5021333	-2.557220257	0.114144366	-22.40338572	3.65E-111	1.21E-108	TRINITY_GG_13789_c0_g1_i2.p1	Lko057S002778	30604	48341	-
NA	NA	NA	NA	NA	NA	OG0007820	NEOSPISA	SPISA	98.0845351	1026.17762	531.1946414	-3.392142259	0.153039813	-22.16509671	7.46E-109	2.40E-106	TRINITY_GG_26076_c0_g1_i2.p3	Lko057S004849	206651	212561	-
NA	NA	NA	NA	NA	NA	OG0004344	NEOSPISA	SPISA	2666.656155	258.0507764	1542.640312	3.368896707	0.152279208	22.12315622	1.89E-108	5.89E-106	TRINITY_GG_14824_c0_g1_i8.p1	Lko057S000830	308360	334503	+
NA	NA	NA	NA	NA	NA	OG0011769	NEOSPISA	SPISA	150.8161023	2997.378014	1479.211661	-4.314551074	0.196320305	-21.97710053	4.77E-107	1.44E-104	TRINITY_GG_5816_c2_g1_i6.p6	Lko057S004801	265662	267138	+
HPF1_NEMVE	A7RS11	Histone PARylation factor 1	HPF1 v1g201271	Nematostella vectensis (Starlet sea anemone)	GO:0005634; GO:0005694; GO:0006974; GO:0010835; GO:0018312; GO:0042393; GO:0072572	OG0006885	NEOSPISA	SPISA	386.8016828	5.837008034	209.0181679	6.079511759	0.276837315	21.96059356	6.86E-107	2.01E-104	TRINITY_GG_23172_c1_g4_i3.p1	Lko057S000476	701213	738076	-
GGNB2_DROME	Q9VNG1	Gametogenetin-binding protein 2-like	CG2182	Drosophila melanogaster (Fruit fly)	GO:0005634; GO:0005737	OG0009819	NEOSPISA	SPISA	86.70856132	420.7522819	242.5956309	-2.279053011	0.104551628	-21.7983503	2.41E-105	6.83E-103	TRINITY_GG_32451_c0_g1_i30.p1	Lko057S003497	189490	197941	-
NA	NA	NA	NA	NA	NA	OG0003802	NEOSPISA	SPISA	40.80270789	427.0768987	221.0639969	-3.385546802	0.155888839	-21.71769853	1.40E-104	3.85E-102	TRINITY_GG_12964_c1_g2_i26.p1	Lko057S000357	668210	686335	+
LUCI_PHOPE	Q27757	"Luciferin 4-monooxygenase, Luciferase, EC 1.13.12.7"	NA	Photuris pensylvanica (Pennsylania firefly)	GO:0005524; GO:0005777; GO:0008218; GO:0046872; GO:0047077	OG0005446	NEOSPISA	SPISA	372.7587372	63.03816496	228.2224702	2.570935524	0.121377697	21.18128448	1.42E-99	3.81E-97	TRINITY_GG_18406_c0_g1_i27.p1	Lko057S003132	387573	390695	+
NA	NA	NA	NA	NA	NA	OG0012532	NEOSPISA	SPISA	8025.347632	1681.266216	5064.776305	2.25538093	0.106579679	21.16145349	2.16E-99	5.65E-97	TRINITY_GG_8302_c1_g1_i2.p2	Lko057S002957	198090	203940	+
GEMI8_MOUSE	Q8BHE1	"Gem-associated protein 8, Gemin-8 (Protein FAM51A1)"	Gemin8 Fam51a1	Mus musculus (Mouse)	GO:0000387; GO:0005634; GO:0005737; GO:0005829; GO:0032797; GO:0034719; GO:0097504	OG0005316	NEOSPISA	SPISA	355.8825207	3.870863728	191.6104141	6.500084887	0.307254059	21.15540773	2.46E-99	6.25E-97	TRINITY_GG_17903_c2_g2_i1.p1	Lko057S003931	37445	38437	+
NA	NA	NA	NA	NA	NA	OG0010280	NEOSPISA	SPISA	60.17469529	984.726992	491.6324338	-4.036380107	0.192451399	-20.97350362	1.15E-97	2.84E-95	TRINITY_GG_34015_c0_g1_i21.p1	Lko057S002984	148949	154973	-
RM38_HUMAN	Q96DV4	"39S ribosomal protein L38, mitochondrial, L38mt, MRP-L38 (Mitochondrial large ribosomal subunit protein mL38)"	MRPL38 HSPC262	Homo sapiens (Human)	GO:0005739; GO:0005743; GO:0005762; GO:0032543	OG0003818	NEOSPISA	SPISA	955.9371132	291.0070296	645.6364075	1.717317964	0.082020402	20.93769252	2.43E-97	5.87E-95	TRINITY_GG_12980_c0_g1_i1.p1	Lko057S000415	530862	534646	-
ANM3_HUMAN	O60678	"Protein arginine N-methyltransferase 3, EC 2.1.1.319 (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)"	PRMT3 HRMT1L3	Homo sapiens (Human)	GO:0005737; GO:0005829; GO:0006479; GO:0008168; GO:0016274; GO:0019919; GO:0031397; GO:0035241; GO:0035242; GO:0043022; GO:0046872; GO:0060997; GO:0072341; GO:1900053	OG0008265	NEOSPISA	SPISA	856.8788445	280.9831041	588.127499	1.607379955	0.07689058	20.90477095	4.85E-97	1.14E-94	TRINITY_GG_27461_c9_g1_i11.p2	Lko057S001131	305483	324699	+
PCCA_HUMAN	P05165	"Propionyl-CoA carboxylase alpha chain, mitochondrial, PCCase subunit alpha, EC 6.4.1.3 (Propanoyl-CoA:carbon dioxide ligase subunit alpha)"	PCCA	Homo sapiens (Human)	GO:0004658; GO:0005524; GO:0005739; GO:0005759; GO:0005829; GO:0006631; GO:0009081; GO:0009374; GO:0019626; GO:0019899; GO:0046872; GO:1902494	OG0011132	NEOSPISA	SPISA	50.33972347	349.3034578	189.8561328	-2.80108875	0.134753452	-20.786768	5.70E-96	1.31E-93	TRINITY_GG_3925_c1_g1_i32.p1	Lko057S005405	87798	111871	-
DYN_DROME	P27619	"Dynamin, EC 3.6.5.5 (Protein shibire) (dDyn)"	shi CG18102	Drosophila melanogaster (Fruit fly)	GO:0001661; GO:0001738; GO:0001933; GO:0003779; GO:0003924; GO:0005525; GO:0005737; GO:0005874; GO:0005886; GO:0006897; GO:0006898; GO:0007268; GO:0007291; GO:0007298; GO:0007349; GO:0007424; GO:0007427; GO:0007435; GO:0007612; GO:0007613; GO:0007614; GO:0007637; GO:0008017; GO:0008355; GO:0010508; GO:0016020; GO:0016185; GO:0030198; GO:0030536; GO:0030707; GO:0030838; GO:0030866; GO:0032956; GO:0032970; GO:0034334; GO:0035152; GO:0035186; GO:0036465; GO:0040008; GO:0045202; GO:0046667; GO:0046718; GO:0046843; GO:0048172; GO:0048488; GO:0048489; GO:0048499; GO:0050803; GO:0061883; GO:0070864; GO:0072583; GO:0072659; GO:0072686; GO:0090148; GO:0098793; GO:0150007; GO:0150008; GO:1903475	OG0010799	NEOSPISA	SPISA	840.0076827	209.3263465	545.6897258	2.004823404	0.097265599	20.61184443	2.15E-94	4.83E-92	TRINITY_GG_35400_c7_g1_i17.p1	Lko057S003492	551448	586763	-
HNRH1_HUMAN	P31943	"Heterogeneous nuclear ribonucleoprotein H, hnRNP H [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed ]"	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006396; GO:0008266; GO:0016020; GO:0042802; GO:0043484; GO:0071013; GO:1990904	OG0009785	NEOSPISA	SPISA	35.73950033	537.9204355	270.0906034	-3.892330341	0.188881797	-20.60722844	2.36E-94	5.19E-92	TRINITY_GG_32337_c0_g1_i6.p1	Lko057S001482	98547	109891	+
SAS10_DROME	Q9I7W5	Something about silencing protein 10	Sas10 CG4202	Drosophila melanogaster (Fruit fly)	GO:0000462; GO:0003723; GO:0005730; GO:0006325; GO:0032040	OG0004657	NEOSPISA	SPISA	37.62509331	248.0592143	135.8276831	-2.716285079	0.132642203	-20.47828689	3.36E-93	7.22E-91	TRINITY_GG_15918_c2_g1_i4.p1	Lko057S010463	17355	21558	+
AQR_HUMAN	O60306	"RNA helicase aquarius, EC 3.6.4.13 (Intron-binding protein of 160 kDa, IBP160)"	AQR KIAA0560	Homo sapiens (Human)	GO:0000398; GO:0003723; GO:0003727; GO:0003729; GO:0005524; GO:0005634; GO:0005654; GO:0016020; GO:0016887; GO:0034458; GO:0071007; GO:0071013	OG0008387	NEOSPISA	SPISA	60.44210235	354.4436624	197.6428304	-2.546167928	0.124472154	-20.45572316	5.34E-93	1.12E-90	TRINITY_GG_27904_c2_g2_i5.p1	Lko057S001436	419301	552038	+
NFU1_DROPS	B5DKJ8	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	GA22888	Drosophila pseudoobscura pseudoobscura (Fruit fly)	GO:0005506; GO:0005739; GO:0016226; GO:0051536	OG0009757	NEOSPISA	SPISA	306.3516083	56.95003797	189.9642088	2.423623266	0.118874864	20.38802131	2.14E-92	4.39E-90	TRINITY_GG_32301_c0_g2_i8.p1	Lko057S000045	44261	54380	+
TRR_DROME	Q8IRW8	"Histone-lysine N-methyltransferase trr, EC 2.1.1.354 (Lysine N-methyltransferase 2C) (Trithorax-related protein)"	trr KMT2C CG3848	Drosophila melanogaster (Fruit fly)	GO:0001046; GO:0003713; GO:0005102; GO:0005634; GO:0005700; GO:0005703; GO:0006325; GO:0007458; GO:0016571; GO:0035075; GO:0042393; GO:0042800; GO:0044666; GO:0045893; GO:0045944; GO:0046872; GO:0048749; GO:0051568; GO:0097692; GO:1900114	OG0003537	NEOSPISA	SPISA	16.68955925	241.086212	121.4079972	-3.870141588	0.190755404	-20.28850306	1.62E-91	3.27E-89	TRINITY_GG_12226_c0_g1_i17.p1	Lko057S000182	38565	53769	+
PSA71_DROME	P22769	Proteasome subunit alpha type-7-1 (PROS-Dm28.1) (Proteasome 28 kDa subunit 1)	Prosalpha4 PROS-28.1 Pros28.1 CG3422	Drosophila melanogaster (Fruit fly)	GO:0000502; GO:0005634; GO:0005654; GO:0005829; GO:0005839; GO:0010498; GO:0019773; GO:0043161	OG0011437	NEOSPISA	SPISA	567.4691766	130.5102779	363.5550238	2.122776491	0.104703143	20.27423847	2.17E-91	4.28E-89	TRINITY_GG_4859_c6_g1_i2.p1	Lko057S004508	68063	73335	+
NA	NA	NA	NA	NA	NA	OG0006446	NEOSPISA	SPISA	174.8793397	853.0436866	491.3560349	-2.286633716	0.113059403	-20.22506448	5.89E-91	1.14E-88	TRINITY_GG_21619_c2_g1_i14.p1	Lko057S003279	12264	84624	-
NA	NA	NA	NA	NA	NA	OG0003511	NEOSPISA	SPISA	207.4816682	8.171034273	114.4700391	4.667110503	0.231981394	20.11846912	5.09E-90	9.63E-88	TRINITY_GG_12132_c4_g2_i7.p4	Lko057S003568	121543	122743	-
NA	NA	NA	NA	NA	NA	OG0004411	NEOSPISA	SPISA	4021.998961	787.1327598	2512.394734	2.35361297	0.117159032	20.08904418	9.20E-90	1.71E-87	TRINITY_GG_15040_c0_g1_i5.p4	Lko057S000209	979520	982992	-
NA	NA	NA	NA	NA	NA	OG0011108	NEOSPISA	SPISA	57.85083493	494.9137629	261.8135346	-3.096134531	0.155146171	-19.95624198	1.32E-88	2.41E-86	TRINITY_GG_3879_c0_g1_i1.p1	Lko057S000889	17773	22350	+
NA	NA	NA	NA	NA	NA	OG0012360	NEOSPISA	SPISA	98.96853014	393.9789028	236.6400374	-1.996296797	0.100625516	-19.8388727	1.38E-87	2.46E-85	TRINITY_GG_7791_c2_g1_i4.p1	Lko057S001550	292239	293378	-
NA	NA	NA	NA	NA	NA	OG0010037	NEOSPISA	SPISA	1.787595705	684.9825133	320.6118906	-8.508095167	0.429901607	-19.79079639	3.57E-87	6.27E-85	TRINITY_GG_33350_c0_g1_i2.p1	Lko057S018932	723	2558	+
NA	NA	NA	NA	NA	NA	OG0012273	NEOSPISA	SPISA	503.2565988	56.05169855	294.5609787	3.172638693	0.161001265	19.70567552	1.93E-86	3.32E-84	TRINITY_GG_7520_c0_g1_i35.p3	Lko057S003647	277605	288386	-
ETHE1_MOUSE	Q9DCM0	"Persulfide dioxygenase ETHE1, mitochondrial, EC 1.13.11.18 (Ethylmalonic encephalopathy protein 1 homolog) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)"	Ethe1 Hsco	Mus musculus (Mouse)	GO:0005506; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0006749; GO:0016788; GO:0042802; GO:0050313; GO:0070813	OG0007239	NEOSPISA	SPISA	10118.23864	1027.903103	5876.082053	3.299728803	0.169019485	19.52277166	7.03E-85	1.19E-82	TRINITY_GG_24213_c0_g1_i34.p3	Lko057S000263	698	10184	-
EMC10_DANRE	A7E2M3	ER membrane protein complex subunit 10	emc10 zgc:171980	Danio rerio (Zebrafish) (Brachydanio rerio)	GO:0016021; GO:0030176; GO:0045050; GO:0071816; GO:0072546	OG0010641	NEOSPISA	SPISA	51.78623979	318.7804191	176.3835235	-2.613143745	0.135588254	-19.27264107	9.12E-83	1.52E-80	TRINITY_GG_35114_c1_g1_i10.p1	Lko057S000285	41511	46899	-
VKGC_RAT	O88496	"Vitamin K-dependent gamma-carboxylase, EC 4.1.1.90 (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)"	Ggcx	Rattus norvegicus (Rat)	GO:0005789; GO:0008488; GO:0010042; GO:0016021; GO:0017187; GO:0019842; GO:0032571; GO:0033280; GO:0042277; GO:0043231; GO:0060437; GO:0070482; GO:0071107; GO:0071548; GO:1904016	OG0011697	NEOSPISA	SPISA	38.64939829	254.4843359	139.3723692	-2.721286613	0.141326566	-19.25530837	1.27E-82	2.09E-80	TRINITY_GG_5643_c0_g1_i77.p1	Lko057S016360	705	5490	+
