Entry_Name	Entry	Protein names	Gene Names	Organism	Gene Ontology IDs	Orthogroup	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Transcript	Scaffold	Start	Stop	Direction
NA	NA	NA	NA	NA	NA	OG0011040	KOHALENSIS	PARANIGRA	106.7048263	728.2480673	417.4764468	-2.772220063	0.116037718	-23.89068055	3.83E-126	1.03E-123	TRINITY_GG_3696_c1_g1_i10.p1	Lko057S002068	1404482	1416016	-
NA	NA	NA	NA	NA	NA	OG0008209	KOHALENSIS	PARANIGRA	17.21518889	255.4424759	136.3288324	-3.8724062	0.163166045	-23.73291696	1.65E-124	4.30E-122	TRINITY_GG_2734_c1_g1_i1.p2	Lko057S001936	12930	13496	-
NA	NA	NA	NA	NA	NA	OG0006797	KOHALENSIS	PARANIGRA	16.39203193	618.9360196	317.6640258	-5.238910527	0.221106354	-23.69407497	4.15E-124	1.05E-121	TRINITY_GG_22808_c1_g1_i6.p1	Lko057S001626	166445	167716	-
NA	NA	NA	NA	NA	NA	OG0004754	KOHALENSIS	PARANIGRA	2918.608963	442.1726873	1680.390825	2.725137568	0.115516928	23.59080714	4.79E-123	1.18E-120	TRINITY_GG_16189_c0_g1_i7.p1	Lko057S003292	558625	583330	-
SPAG6_HUMAN	O75602	Sperm-associated antigen 6 (Protein PF16 homolog) (Repro-SA-1) (Sperm flagellar protein)	SPAG6 PF16	Homo sapiens (Human)	GO:0001669; GO:0003341; GO:0003351; GO:0005576; GO:0005634; GO:0005874; GO:0005930; GO:0007288; GO:0008017; GO:0015630; GO:0046847; GO:0097228; GO:1990138	OG0010051	KOHALENSIS	PARANIGRA	46.30168247	576.8012264	311.5514544	-3.637700277	0.154397951	-23.56054759	9.79E-123	2.36E-120	TRINITY_GG_33408_c0_g2_i1.p2	Lko057S000669	137650	138767	+
UVRAG_MOUSE	Q8K245	UV radiation resistance-associated protein	Uvrag Uvrag1	Mus musculus (Mouse)	GO:0000149; GO:0000323; GO:0000421; GO:0000775; GO:0005764; GO:0005768; GO:0005769; GO:0005770; GO:0005783; GO:0005813; GO:0006281; GO:0006468; GO:0006890; GO:0006914; GO:0007051; GO:0007059; GO:0007098; GO:0010506; GO:0017124; GO:0030496; GO:0032465; GO:0032801; GO:0032991; GO:0035032; GO:0035493; GO:0036092; GO:0045335; GO:0046718; GO:0051684; GO:0070418; GO:0071900; GO:0097352; GO:0097680	OG0007607	KOHALENSIS	PARANIGRA	317.1277532	40.31528007	178.7215166	2.985042972	0.126925319	23.51810497	2.66E-122	6.26E-120	TRINITY_GG_25290_c4_g1_i6.p1	Lko057S002115	189983	214888	-
NA	NA	NA	NA	NA	NA	OG0011312	KOHALENSIS	PARANIGRA	131.8648477	1112.399334	622.132091	-3.074559146	0.131129324	-23.44677033	1.43E-121	3.27E-119	TRINITY_GG_4397_c0_g1_i39.p2	Lko057S007422	247223	251217	+
KICS2_MOUSE	Q6P1I3	KICSTOR subunit 2	Kics2	Mus musculus (Mouse)	GO:0005764; GO:0005765; GO:0034198; GO:0042149; GO:0045171; GO:0061462; GO:0140007; GO:1904262	OG0006234	KOHALENSIS	PARANIGRA	28.59995689	665.3961737	346.9980653	-4.546581916	0.19460257	-23.36342176	1.01E-120	2.26E-118	TRINITY_GG_20887_c0_g1_i51.p8	Lko057S006687	63284	64601	-
NA	NA	NA	NA	NA	NA	OG0009822	KOHALENSIS	PARANIGRA	2481.697058	16916.14448	9698.920771	-2.768924665	0.118668544	-23.33326574	2.04E-120	4.47E-118	TRINITY_GG_32465_c0_g1_i19.p1	Lko057S005240	231908	233645	+
RB3GP_XENLA	Q642R9	Rab3 GTPase-activating protein catalytic subunit	rab3gap1 rab3gap	Xenopus laevis (African clawed frog)	GO:0005096; GO:0005737; GO:0043547	OG0007255	KOHALENSIS	PARANIGRA	317.0533943	42.68404541	179.8687198	2.905861447	0.125199448	23.20985828	3.62E-119	7.76E-117	TRINITY_GG_24261_c0_g1_i2.p1	Lko057S001490	254156	265475	+
NA	NA	NA	NA	NA	NA	OG0009437	KOHALENSIS	PARANIGRA	100.3935759	1744.297032	922.3453038	-4.119663733	0.177575026	-23.19956714	4.60E-119	9.64E-117	TRINITY_GG_31255_c1_g1_i148.p16	Lko057S001260	1006605	1006907	+
NA	NA	NA	NA	NA	NA	OG0003102	KOHALENSIS	PARANIGRA	15.85824986	286.532134	151.1951919	-4.18441481	0.181289078	-23.08145005	7.11E-118	1.46E-115	TRINITY_GG_108_c1_g1_i25.p2	Lko057S001065	38281	38616	-
NA	NA	NA	NA	NA	NA	OG0007455	KOHALENSIS	PARANIGRA	852.320037	147.6971599	500.0085984	2.528559827	0.109844143	23.01952338	2.97E-117	5.97E-115	TRINITY_GG_24841_c5_g1_i1.p1	Lko057S005403	375491	379271	-
NA	NA	NA	NA	NA	NA	OG0012876	KOHALENSIS	PARANIGRA	12.73749116	332.4804425	172.6089668	-4.720267329	0.206021662	-22.9115098	3.57E-116	7.02E-114	TRINITY_GG_9521_c0_g1_i21.p2	Lko057S001828	26146	29611	-
PA24A_HUMAN	P47712	"Cytosolic phospholipase A2, cPLA2 (Phospholipase A2 group IVA) [Includes: Phospholipase A2, EC 3.1.1.4 (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase, EC 3.1.1.5 ]"	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)	GO:0000139; GO:0001516; GO:0002827; GO:0004622; GO:0004623; GO:0005509; GO:0005544; GO:0005634; GO:0005635; GO:0005737; GO:0005743; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0006071; GO:0006640; GO:0006663; GO:0006690; GO:0008374; GO:0010314; GO:0010572; GO:0019369; GO:0019370; GO:0032266; GO:0032308; GO:0034478; GO:0034638; GO:0036151; GO:0042127; GO:0043032; GO:0043231; GO:0046475; GO:0047498; GO:0047499; GO:0050482; GO:0051649; GO:0070273; GO:0071236; GO:0102545; GO:1902387	OG0008413	KOHALENSIS	PARANIGRA	6063.801639	1125.907109	3594.854374	2.428829578	0.106587194	22.78725517	6.13E-115	1.18E-112	TRINITY_GG_28065_c0_g1_i10.p1	Lko057S000946	40533	168883	-
LFG1_BOVIN	Q32L53	Protein lifeguard 1 (Glutamate [NMDA] receptor-associated protein 1) (NMDA receptor glutamate-binding subunit)	GRINA LFG1 NMDARA1	Bos taurus (Bovine)	GO:0005783; GO:0005794; GO:0016020; GO:0016021; GO:0032469; GO:0044325; GO:1902236; GO:2001234	OG0007933	KOHALENSIS	PARANIGRA	665.6268608	124.459759	395.0433099	2.426722897	0.106538736	22.77784583	7.60E-115	1.44E-112	TRINITY_GG_26506_c0_g1_i13.p1	Lko057S003119	28671	47765	-
NA	NA	NA	NA	NA	NA	OG0004333	KOHALENSIS	PARANIGRA	742.3367915	60.555916	401.4463538	3.617556724	0.160507606	22.53822622	1.75E-112	3.25E-110	TRINITY_GG_14799_c0_g1_i11.p1	Lko057S000579	490679	532600	-
NA	NA	NA	NA	NA	NA	OG0012244	KOHALENSIS	PARANIGRA	136.851913	763.7886964	450.3203047	-2.482095989	0.110394727	-22.48382732	5.98E-112	1.09E-109	TRINITY_GG_7440_c0_g1_i19.p3	Lko057S001177	1109873	1110361	-
NA	NA	NA	NA	NA	NA	OG0007104	KOHALENSIS	PARANIGRA	452.4176106	60.45554685	256.4365787	2.901209728	0.129557461	22.39322772	4.58E-111	8.18E-109	TRINITY_GG_23686_c1_g1_i4.p2	Lko057S002962	15456	65686	-
CH60A_DROME	O02649	Heat shock protein 60A	Hsp60A hsp60 CG12101	Drosophila melanogaster (Fruit fly)	GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0006457; GO:0007005; GO:0008637; GO:0016887; GO:0034514; GO:0034605; GO:0042026; GO:0045041; GO:0051087; GO:0140662	OG0012276	KOHALENSIS	PARANIGRA	3100.752421	861.0672972	1980.909859	1.847603017	0.082618141	22.36316373	8.99E-111	1.58E-108	TRINITY_GG_7520_c1_g1_i28.p1	Lko057S003647	315160	321901	-
NA	NA	NA	NA	NA	NA	OG0009351	KOHALENSIS	PARANIGRA	262.4594786	1975.205183	1118.832331	-2.912801402	0.130358828	-22.34448902	1.37E-110	2.35E-108	TRINITY_GG_31039_c1_g1_i8.p1	Lko057S004831	607044	608789	-
NA	NA	NA	NA	NA	NA	OG0008439	KOHALENSIS	PARANIGRA	1400.85746	8839.500078	5120.178769	-2.657347115	0.119868091	-22.16892833	6.85E-109	1.16E-106	TRINITY_GG_28096_c14_g1_i11.p2	Lko057S000454	1824235	1842895	+
JMJD4_DANRE	Q08BY5	"2-oxoglutarate and iron-dependent oxygenase JMJD4, EC 1.14.11.- (JmjC domain-containing protein 4) (Jumonji domain-containing protein 4) (Lysyl-hydroxylase JMJD4)"	jmjd4 zgc:153974	Danio rerio (Zebrafish) (Brachydanio rerio)	GO:0005634; GO:0005737; GO:0010629; GO:0016706; GO:0018126; GO:0043565; GO:0045905; GO:0046872; GO:0106156	OG0004059	KOHALENSIS	PARANIGRA	129.6375698	747.5918359	438.6147028	-2.527049972	0.114276645	-22.11344213	2.35E-108	3.90E-106	TRINITY_GG_13789_c1_g1_i5.p3	Lko057S002778	86073	86767	+
SNX8_BOVIN	Q2KHV6	Sorting nexin-8	SNX8	Bos taurus (Bovine)	GO:0005829; GO:0006886; GO:0030904; GO:0031901; GO:0034498; GO:0035091; GO:0042802	OG0003896	KOHALENSIS	PARANIGRA	251.8731459	12.4795132	132.1763295	4.315555063	0.197910002	21.80564408	2.05E-105	3.35E-103	TRINITY_GG_13254_c1_g1_i10.p2	Lko057S000664	845029	862327	+
FBX42_MOUSE	Q6PDJ6	F-box only protein 42	Fbxo42	Mus musculus (Mouse)	GO:0019005; GO:1990756	OG0009128	KOHALENSIS	PARANIGRA	83.07205114	577.4034039	330.2377275	-2.796504919	0.128930457	-21.69002557	2.55E-104	4.10E-102	TRINITY_GG_30387_c0_g1_i7.p3	Lko057S003998	630820	632217	+
NA	NA	NA	NA	NA	NA	OG0012317	KOHALENSIS	PARANIGRA	1469.876714	234.5438131	852.2102635	2.652076296	0.123236502	21.52021731	1.01E-102	1.59E-100	TRINITY_GG_7630_c1_g1_i15.p1	Lko057S009091	26371	50010	-
NA	NA	NA	NA	NA	NA	OG0012392	KOHALENSIS	PARANIGRA	168.1263281	1099.704247	633.9152874	-2.709880096	0.127324681	-21.28322699	1.62E-100	2.53E-98	TRINITY_GG_7932_c0_g1_i21.p1	Lko057S000851	981228	996949	-
EF1G_ARTSA	P12261	"Elongation factor 1-gamma, EF-1-gamma (eEF-1B gamma)"	NA	Artemia salina (Brine shrimp)	GO:0003746; GO:0006749	OG0009726	KOHALENSIS	PARANIGRA	2289.889958	9704.424766	5997.157362	-2.083228863	0.098033118	-21.25025616	3.28E-100	5.02E-98	TRINITY_GG_32178_c1_g1_i6.p1	Lko057S003192	164223	177413	-
NA	NA	NA	NA	NA	NA	OG0005141	KOHALENSIS	PARANIGRA	1130.042137	4885.394147	3007.718142	-2.112130878	0.099627303	-21.20032179	9.48E-100	1.43E-97	TRINITY_GG_1742_c1_g1_i32.p1	Lko057S000584	899109	911202	+
CHM1B_BOVIN	Q5E994	"Charged multivesicular body protein 1b (Chromatin-modifying protein 1b, CHMP1b)"	CHMP1B	Bos taurus (Bovine)	GO:0000815; GO:0005771; GO:0005829; GO:0007049; GO:0015031; GO:0031902; GO:0032509; GO:0045324; GO:0051301	OG0004612	KOHALENSIS	PARANIGRA	390.800981	84.76298597	237.7819835	2.209631038	0.104667812	21.11089352	6.32E-99	9.37E-97	TRINITY_GG_15761_c0_g1_i1.p1	Lko057S000921	182240	200592	-
L14AA_XENLA	A0A8M2	"Protein LSM14 homolog A-A (RNA-associated protein 55A-A, RAP55A-A, xRAP55, xRAP55A)"	lsm14a-a lsm14a rap55a-a	Xenopus laevis (African clawed frog)	GO:0000932; GO:0003723; GO:0005737; GO:0010494; GO:0017148; GO:0017151; GO:0032991; GO:1990904	OG0005107	KOHALENSIS	PARANIGRA	28.6666993	272.1507938	150.4087465	-3.245017559	0.153741619	-21.10695578	6.87E-99	1.00E-96	TRINITY_GG_17297_c0_g1_i100.p4	Lko057S011771	79474	80381	+
NDUA9_GORGO	Q0MQB3	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD, CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)"	NDUFA9	Gorilla gorilla gorilla (Western lowland gorilla)	GO:0005739; GO:0005747; GO:0005759; GO:0032981; GO:0044877; GO:1901006	OG0006666	KOHALENSIS	PARANIGRA	1610.387244	400.5538757	1005.47056	2.010141674	0.097568983	20.60226121	2.62E-94	3.77E-92	TRINITY_GG_2237_c2_g1_i6.p1	Lko057S002173	836778	840837	-
SMN_DROME	Q9VV74	Survival motor neuron protein	Smn CG16725	Drosophila melanogaster (Fruit fly)	GO:0000387; GO:0000398; GO:0002164; GO:0003723; GO:0005634; GO:0005681; GO:0005737; GO:0005886; GO:0007274; GO:0007417; GO:0007528; GO:0008345; GO:0009792; GO:0015030; GO:0017145; GO:0022618; GO:0030018; GO:0030240; GO:0031594; GO:0031674; GO:0032224; GO:0032797; GO:0033962; GO:0034718; GO:0034730; GO:0035149; GO:0042802; GO:0045175; GO:0045887; GO:0048601; GO:0048863; GO:0051276; GO:0051393; GO:0060079; GO:0071254; GO:0072089; GO:0072553; GO:0097113; GO:0097504; GO:0098794; GO:1990194	OG0007974	KOHALENSIS	PARANIGRA	864.1916322	173.6912921	518.9414622	2.320714851	0.113018392	20.53395736	1.07E-93	1.52E-91	TRINITY_GG_26648_c0_g1_i14.p3	Lko057S000649	25101	34790	+
NA	NA	NA	NA	NA	NA	OG0007655	KOHALENSIS	PARANIGRA	1025.447218	283.4675924	654.457405	1.858579662	0.090834278	20.46121463	4.77E-93	6.67E-91	TRINITY_GG_25521_c0_g1_i1.p1	Lko057S000220	17919	45359	-
TALDO_CRIGR	Q8VI73	"Transaldolase, EC 2.2.1.2"	TALDO1	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	GO:0004801; GO:0005737; GO:0005975; GO:0006098	OG0003081	KOHALENSIS	PARANIGRA	204.1395116	1168.62961	686.3845607	-2.518423443	0.123664524	-20.36496296	3.42E-92	4.71E-90	TRINITY_GG_10870_c2_g1_i22.p1	Lko057S000223	1079096	1080401	-
