Orthogroup	lk	ln	lp	ls
OG0002865	TRINITY_GG_1008_c0_g1_i1.p1	TRINITY_GG_7549_c3_g1_i1.p1	TRINITY_GG_22026_c0_g1_i3.p1	TRINITY_GG_33801_c0_g1_i2.p1
OG0002866	TRINITY_GG_1013_c0_g1_i2.p1	TRINITY_GG_7549_c0_g1_i1.p1	TRINITY_GG_22025_c0_g1_i1.p1	TRINITY_GG_33806_c0_g1_i1.p1
OG0002867	TRINITY_GG_1013_c1_g1_i1.p1	TRINITY_GG_7549_c1_g1_i2.p1	TRINITY_GG_22019_c0_g1_i1.p1	TRINITY_GG_33806_c1_g1_i1.p1
OG0002868	TRINITY_GG_10144_c0_g1_i1.p1	TRINITY_GG_27274_c0_g1_i1.p1	TRINITY_GG_17096_c3_g1_i1.p1	TRINITY_GG_9877_c0_g1_i1.p1
OG0002869	TRINITY_GG_10159_c0_g1_i2.p1	TRINITY_GG_15529_c24_g1_i2.p1	TRINITY_GG_27922_c12_g1_i5.p1	TRINITY_GG_19985_c2_g1_i4.p1
OG0002870	TRINITY_GG_10159_c1_g1_i1.p1	TRINITY_GG_15529_c2_g2_i1.p1	TRINITY_GG_27922_c1_g1_i1.p1	TRINITY_GG_19985_c3_g1_i1.p1
OG0002871	TRINITY_GG_1015_c0_g1_i2.p2	TRINITY_GG_7549_c2_g3_i1.p2	TRINITY_GG_22021_c1_g5_i2.p3	TRINITY_GG_33814_c0_g2_i1.p1
OG0002872	TRINITY_GG_1015_c0_g1_i2.p1	TRINITY_GG_7549_c2_g3_i1.p1	TRINITY_GG_22021_c1_g5_i2.p1	TRINITY_GG_33814_c0_g2_i1.p2
OG0002873	TRINITY_GG_10160_c0_g1_i29.p3	TRINITY_GG_15531_c2_g1_i13.p3	TRINITY_GG_27923_c1_g1_i7.p3	TRINITY_GG_19984_c2_g1_i13.p3
OG0002874	TRINITY_GG_10160_c0_g1_i29.p2	TRINITY_GG_15531_c2_g1_i13.p2	TRINITY_GG_27923_c1_g1_i7.p2	TRINITY_GG_19984_c2_g1_i13.p2
OG0002875	TRINITY_GG_10160_c0_g1_i29.p1	TRINITY_GG_15531_c2_g1_i13.p1	TRINITY_GG_27923_c1_g1_i7.p1	TRINITY_GG_19984_c2_g1_i13.p1
OG0002876	TRINITY_GG_10160_c1_g1_i21.p1	TRINITY_GG_15531_c1_g1_i1.p1	TRINITY_GG_27923_c8_g1_i14.p1	TRINITY_GG_19984_c0_g1_i11.p1
OG0002877	TRINITY_GG_10160_c2_g2_i5.p1	TRINITY_GG_15531_c4_g1_i7.p1	TRINITY_GG_27923_c3_g1_i7.p1	TRINITY_GG_19982_c1_g1_i4.p1
OG0002878	TRINITY_GG_10160_c3_g1_i15.p2	TRINITY_GG_15531_c3_g1_i9.p2	TRINITY_GG_27923_c2_g1_i24.p2	TRINITY_GG_19984_c3_g1_i43.p2
OG0002879	TRINITY_GG_10160_c3_g1_i15.p1	TRINITY_GG_15531_c5_g1_i4.p1	TRINITY_GG_27923_c2_g1_i24.p1	TRINITY_GG_19984_c3_g1_i43.p1
OG0002880	TRINITY_GG_10160_c4_g1_i4.p1	TRINITY_GG_15531_c6_g2_i2.p1	TRINITY_GG_27923_c7_g1_i18.p1	TRINITY_GG_19984_c12_g2_i1.p1
OG0002881	TRINITY_GG_10161_c0_g1_i10.p1	TRINITY_GG_15531_c8_g1_i2.p1	TRINITY_GG_27923_c6_g1_i10.p1	TRINITY_GG_19983_c0_g1_i1.p1
OG0002882	TRINITY_GG_10162_c0_g2_i5.p1	TRINITY_GG_15529_c1_g1_i8.p1	TRINITY_GG_27922_c2_g1_i3.p1	TRINITY_GG_19985_c0_g1_i7.p1
OG0002883	TRINITY_GG_10162_c1_g1_i1.p1	TRINITY_GG_15529_c0_g1_i14.p2	TRINITY_GG_27922_c3_g1_i2.p1	TRINITY_GG_19985_c4_g1_i1.p1
OG0002884	TRINITY_GG_10162_c2_g1_i2.p1	TRINITY_GG_15529_c0_g1_i14.p1	TRINITY_GG_27922_c0_g1_i7.p1	TRINITY_GG_19985_c1_g2_i1.p1
OG0002885	TRINITY_GG_10167_c0_g1_i1.p1	TRINITY_GG_3361_c0_g1_i1.p1	TRINITY_GG_6352_c0_g1_i1.p1	TRINITY_GG_27620_c0_g1_i1.p1
OG0002887	TRINITY_GG_10170_c0_g1_i2.p1	TRINITY_GG_3350_c0_g1_i2.p1	TRINITY_GG_6353_c0_g1_i1.p1	TRINITY_GG_27614_c0_g1_i7.p1
OG0002888	TRINITY_GG_10172_c1_g1_i2.p1	TRINITY_GG_3356_c0_g1_i6.p1	TRINITY_GG_6357_c2_g1_i7.p1	TRINITY_GG_27612_c0_g2_i1.p1
OG0002889	TRINITY_GG_10172_c2_g1_i6.p1	TRINITY_GG_3355_c0_g1_i1.p1	TRINITY_GG_6357_c3_g1_i3.p1	TRINITY_GG_27627_c0_g1_i1.p1
OG0002890	TRINITY_GG_10172_c3_g1_i1.p1	TRINITY_GG_3351_c0_g1_i2.p1	TRINITY_GG_6357_c0_g1_i1.p1	TRINITY_GG_27613_c5_g1_i1.p1
OG0002891	TRINITY_GG_10177_c0_g1_i1.p1	TRINITY_GG_25250_c0_g1_i1.p1	TRINITY_GG_33257_c0_g1_i2.p1	TRINITY_GG_24132_c4_g1_i1.p1
OG0002892	TRINITY_GG_10182_c0_g1_i2.p1	TRINITY_GG_21647_c0_g1_i1.p1	TRINITY_GG_19044_c0_g1_i1.p1	TRINITY_GG_35375_c0_g1_i1.p1
OG0002893	TRINITY_GG_10191_c0_g1_i2.p1	TRINITY_GG_10420_c4_g1_i1.p1	TRINITY_GG_17804_c0_g1_i5.p1	TRINITY_GG_14613_c0_g2_i4.p1
OG0002894	TRINITY_GG_10197_c0_g1_i21.p2	TRINITY_GG_10420_c0_g1_i42.p2	TRINITY_GG_17809_c0_g1_i65.p2	TRINITY_GG_14620_c0_g1_i55.p2
OG0002895	TRINITY_GG_10197_c0_g1_i21.p1	TRINITY_GG_10420_c0_g1_i42.p1	TRINITY_GG_17809_c0_g1_i65.p1	TRINITY_GG_14620_c0_g1_i55.p1
OG0002896	TRINITY_GG_10197_c1_g1_i2.p1	TRINITY_GG_10420_c1_g1_i42.p1	TRINITY_GG_17809_c4_g1_i30.p1	TRINITY_GG_14620_c1_g1_i6.p1
OG0002897	TRINITY_GG_10197_c2_g2_i9.p1	TRINITY_GG_10420_c3_g1_i8.p1	TRINITY_GG_17809_c2_g1_i4.p1	TRINITY_GG_14620_c2_g1_i15.p1
OG0002898	TRINITY_GG_10197_c3_g1_i1.p1	TRINITY_GG_10420_c2_g1_i5.p1	TRINITY_GG_17809_c3_g1_i11.p1	TRINITY_GG_14618_c0_g1_i2.p1
OG0002899	TRINITY_GG_10200_c0_g1_i3.p1	TRINITY_GG_20476_c0_g1_i22.p1	TRINITY_GG_34811_c0_g1_i38.p1	TRINITY_GG_27970_c0_g1_i15.p1
OG0002900	TRINITY_GG_10200_c0_g1_i3.p2	TRINITY_GG_20476_c0_g1_i22.p2	TRINITY_GG_34811_c0_g1_i38.p2	TRINITY_GG_27970_c0_g1_i15.p2
OG0002901	TRINITY_GG_10200_c0_g1_i3.p3	TRINITY_GG_20476_c0_g1_i22.p3	TRINITY_GG_34811_c0_g1_i38.p3	TRINITY_GG_27970_c0_g1_i15.p3
OG0002903	TRINITY_GG_10204_c0_g1_i1.p1	TRINITY_GG_5577_c0_g1_i3.p1	TRINITY_GG_27986_c0_g1_i2.p1	TRINITY_GG_21559_c0_g1_i1.p1
OG0002904	TRINITY_GG_10207_c0_g2_i1.p2	TRINITY_GG_8358_c0_g1_i3.p2	TRINITY_GG_30414_c0_g1_i7.p2	TRINITY_GG_6371_c0_g2_i2.p2
OG0002905	TRINITY_GG_10210_c0_g1_i9.p2	TRINITY_GG_25449_c2_g3_i5.p2	TRINITY_GG_18086_c2_g1_i24.p1	TRINITY_GG_9904_c4_g1_i3.p1
OG0002906	TRINITY_GG_10210_c1_g1_i4.p1	TRINITY_GG_25449_c1_g1_i11.p1	TRINITY_GG_18086_c3_g1_i32.p1	TRINITY_GG_9904_c1_g1_i7.p1
OG0002907	TRINITY_GG_10210_c1_g1_i4.p2	TRINITY_GG_25449_c1_g1_i11.p2	TRINITY_GG_18086_c3_g1_i32.p2	TRINITY_GG_9904_c1_g1_i7.p3
OG0002908	TRINITY_GG_10210_c2_g1_i2.p1	TRINITY_GG_25449_c0_g1_i8.p2	TRINITY_GG_18086_c4_g1_i9.p2	TRINITY_GG_9904_c0_g1_i11.p2
OG0002909	TRINITY_GG_10210_c30_g1_i1.p1	TRINITY_GG_25448_c1_g1_i1.p1	TRINITY_GG_18088_c0_g1_i1.p1	TRINITY_GG_9905_c4_g1_i1.p1
OG0002910	TRINITY_GG_10210_c31_g1_i1.p1	TRINITY_GG_25449_c32_g1_i1.p1	TRINITY_GG_18086_c5_g1_i1.p1	TRINITY_GG_9904_c5_g1_i1.p1
OG0002911	TRINITY_GG_10210_c4_g1_i6.p1	TRINITY_GG_25449_c0_g1_i8.p1	TRINITY_GG_18086_c4_g1_i9.p1	TRINITY_GG_9904_c0_g1_i11.p1
OG0002912	TRINITY_GG_10210_c6_g1_i1.p1	TRINITY_GG_25449_c2_g3_i5.p3	TRINITY_GG_18086_c2_g1_i24.p2	TRINITY_GG_9904_c8_g1_i2.p1
OG0002913	TRINITY_GG_10214_c0_g1_i2.p1	TRINITY_GG_24468_c0_g1_i1.p1	TRINITY_GG_6170_c0_g1_i1.p1	TRINITY_GG_17959_c0_g1_i2.p1
OG0002914	TRINITY_GG_10218_c21_g1_i1.p1	TRINITY_GG_31827_c15_g1_i1.p1	TRINITY_GG_22471_c14_g1_i1.p1	TRINITY_GG_28140_c5_g1_i1.p1
OG0002915	TRINITY_GG_10222_c0_g1_i1.p1	TRINITY_GG_31822_c0_g1_i1.p1	TRINITY_GG_22470_c0_g1_i1.p1	TRINITY_GG_28134_c0_g1_i1.p1
OG0002916	TRINITY_GG_10228_c0_g1_i1.p1	TRINITY_GG_31827_c0_g1_i1.p1	TRINITY_GG_22471_c13_g1_i1.p1	TRINITY_GG_28140_c2_g1_i1.p1
OG0002917	TRINITY_GG_10228_c1_g1_i1.p1	TRINITY_GG_31827_c1_g1_i2.p1	TRINITY_GG_22471_c1_g1_i1.p1	TRINITY_GG_28140_c7_g1_i2.p1
OG0002918	TRINITY_GG_10229_c0_g1_i1.p1	TRINITY_GG_31822_c1_g1_i1.p1	TRINITY_GG_22476_c0_g1_i5.p1	TRINITY_GG_28139_c1_g1_i2.p1
OG0002919	TRINITY_GG_10247_c0_g1_i8.p1	TRINITY_GG_27823_c5_g1_i27.p1	TRINITY_GG_25356_c0_g2_i26.p1	TRINITY_GG_12948_c1_g1_i6.p1
OG0002920	TRINITY_GG_10250_c1_g1_i4.p1	TRINITY_GG_27823_c2_g1_i2.p1	TRINITY_GG_25369_c0_g1_i1.p1	TRINITY_GG_12946_c0_g1_i3.p1
OG0002921	TRINITY_GG_10250_c1_g1_i4.p3	TRINITY_GG_27823_c2_g1_i2.p3	TRINITY_GG_25369_c0_g1_i1.p3	TRINITY_GG_12946_c0_g1_i3.p3
OG0002922	TRINITY_GG_10260_c0_g1_i2.p1	TRINITY_GG_18673_c0_g1_i3.p1	TRINITY_GG_23363_c0_g1_i3.p1	TRINITY_GG_35890_c1_g1_i1.p1
OG0002923	TRINITY_GG_10260_c1_g1_i3.p1	TRINITY_GG_18677_c0_g1_i1.p1	TRINITY_GG_23363_c1_g1_i7.p1	TRINITY_GG_35890_c0_g1_i1.p1
OG0002924	TRINITY_GG_10262_c0_g1_i4.p1	TRINITY_GG_14853_c0_g1_i4.p1	TRINITY_GG_6951_c2_g1_i1.p1	TRINITY_GG_28861_c0_g1_i12.p1
OG0002925	TRINITY_GG_10262_c2_g1_i8.p1	TRINITY_GG_14855_c0_g1_i3.p1	TRINITY_GG_6951_c0_g1_i2.p1	TRINITY_GG_28861_c1_g1_i3.p1
OG0002926	TRINITY_GG_10277_c0_g1_i14.p1	TRINITY_GG_12128_c0_g1_i6.p1	TRINITY_GG_6222_c0_g1_i2.p1	TRINITY_GG_35558_c0_g1_i7.p1
OG0002927	TRINITY_GG_10287_c1_g1_i1.p1	TRINITY_GG_18424_c0_g1_i1.p1	TRINITY_GG_18105_c0_g1_i1.p1	TRINITY_GG_14548_c0_g1_i1.p1
OG0002928	TRINITY_GG_10289_c0_g1_i2.p1	TRINITY_GG_11589_c1_g1_i2.p1	TRINITY_GG_18564_c3_g1_i3.p1	TRINITY_GG_5337_c2_g1_i7.p1
OG0002929	TRINITY_GG_10289_c7_g1_i3.p1	TRINITY_GG_11589_c0_g1_i16.p1	TRINITY_GG_18564_c1_g1_i2.p1	TRINITY_GG_5337_c1_g1_i4.p1
OG0002930	TRINITY_GG_1028_c1_g1_i3.p1	TRINITY_GG_33094_c0_g1_i3.p1	TRINITY_GG_10616_c1_g3_i3.p1	TRINITY_GG_9542_c0_g1_i4.p1
OG0002931	TRINITY_GG_10293_c0_g1_i3.p1	TRINITY_GG_7576_c0_g2_i3.p1	TRINITY_GG_28611_c0_g1_i2.p1	TRINITY_GG_14870_c0_g1_i2.p1
OG0002932	TRINITY_GG_1030_c0_g1_i1.p1	TRINITY_GG_558_c0_g1_i3.p1	TRINITY_GG_2981_c0_g2_i2.p1	TRINITY_GG_5783_c0_g1_i1.p1
OG0002933	TRINITY_GG_1031_c0_g1_i8.p1	TRINITY_GG_23790_c1_g2_i3.p1	TRINITY_GG_13367_c0_g1_i7.p1	TRINITY_GG_20813_c1_g2_i2.p1
OG0002934	TRINITY_GG_10321_c1_g2_i5.p2	TRINITY_GG_1440_c1_g1_i11.p2	TRINITY_GG_19648_c2_g1_i8.p2	TRINITY_GG_8591_c24_g1_i3.p2
OG0002935	TRINITY_GG_10321_c1_g2_i5.p1	TRINITY_GG_1440_c1_g1_i11.p1	TRINITY_GG_19648_c2_g1_i8.p1	TRINITY_GG_8591_c24_g1_i3.p1
OG0002936	TRINITY_GG_10321_c3_g1_i24.p1	TRINITY_GG_1440_c3_g1_i6.p1	TRINITY_GG_19648_c14_g1_i2.p1	TRINITY_GG_8591_c6_g1_i4.p1
OG0002937	TRINITY_GG_10323_c0_g2_i4.p1	TRINITY_GG_1430_c3_g2_i1.p1	TRINITY_GG_19644_c0_g1_i4.p1	TRINITY_GG_8594_c4_g1_i3.p1
OG0002938	TRINITY_GG_10324_c0_g1_i1.p1	TRINITY_GG_1436_c0_g1_i1.p1	TRINITY_GG_19648_c3_g1_i1.p1	TRINITY_GG_8591_c5_g1_i1.p1
OG0002939	TRINITY_GG_10325_c0_g1_i11.p1	TRINITY_GG_1431_c0_g1_i9.p1	TRINITY_GG_19650_c1_g1_i4.p1	TRINITY_GG_8598_c1_g1_i8.p1
OG0002940	TRINITY_GG_10325_c1_g1_i22.p1	TRINITY_GG_1431_c5_g1_i13.p1	TRINITY_GG_19650_c0_g1_i20.p1	TRINITY_GG_8592_c2_g1_i18.p1
OG0002941	TRINITY_GG_10325_c2_g1_i8.p2	TRINITY_GG_1431_c3_g1_i3.p3	TRINITY_GG_19650_c2_g1_i9.p3	TRINITY_GG_8598_c2_g2_i6.p3
OG0002942	TRINITY_GG_10325_c4_g1_i20.p1	TRINITY_GG_1431_c6_g1_i23.p1	TRINITY_GG_19650_c5_g1_i1.p1	TRINITY_GG_8598_c3_g1_i4.p1
OG0002943	TRINITY_GG_10325_c4_g4_i4.p1	TRINITY_GG_1431_c2_g1_i5.p1	TRINITY_GG_19650_c4_g1_i4.p1	TRINITY_GG_8598_c4_g1_i1.p1
OG0002944	TRINITY_GG_10328_c0_g1_i49.p1	TRINITY_GG_1430_c0_g1_i12.p1	TRINITY_GG_19649_c0_g1_i12.p1	TRINITY_GG_8594_c0_g1_i154.p1
OG0002945	TRINITY_GG_10328_c13_g1_i10.p1	TRINITY_GG_1432_c3_g1_i8.p1	TRINITY_GG_19653_c0_g1_i14.p2	TRINITY_GG_8591_c2_g2_i5.p1
OG0002946	TRINITY_GG_10328_c2_g1_i11.p1	TRINITY_GG_1432_c0_g1_i2.p1	TRINITY_GG_19653_c0_g1_i14.p1	TRINITY_GG_8591_c2_g1_i1.p1
OG0002947	TRINITY_GG_10330_c0_g1_i4.p1	TRINITY_GG_1436_c2_g1_i6.p1	TRINITY_GG_19653_c1_g1_i9.p1	TRINITY_GG_8591_c4_g1_i19.p1
OG0002948	TRINITY_GG_10331_c2_g1_i9.p2	TRINITY_GG_9480_c1_g1_i5.p2	TRINITY_GG_24728_c0_g1_i8.p2	TRINITY_GG_15411_c1_g1_i12.p2
OG0002949	TRINITY_GG_10331_c2_g1_i9.p1	TRINITY_GG_9480_c1_g1_i5.p1	TRINITY_GG_24728_c0_g1_i8.p1	TRINITY_GG_15411_c1_g1_i12.p1
OG0002950	TRINITY_GG_10332_c0_g1_i2.p1	TRINITY_GG_9482_c0_g1_i11.p2	TRINITY_GG_24729_c2_g1_i5.p2	TRINITY_GG_15412_c2_g1_i2.p1
OG0002951	TRINITY_GG_10332_c14_g1_i16.p1	TRINITY_GG_9482_c7_g2_i13.p1	TRINITY_GG_24729_c5_g1_i5.p1	TRINITY_GG_15412_c4_g1_i4.p1
OG0002952	TRINITY_GG_10332_c2_g1_i1.p1	TRINITY_GG_9482_c2_g1_i3.p1	TRINITY_GG_24729_c3_g1_i2.p1	TRINITY_GG_15412_c1_g1_i4.p1
OG0002953	TRINITY_GG_10332_c3_g1_i15.p1	TRINITY_GG_9482_c1_g1_i17.p1	TRINITY_GG_24729_c1_g2_i5.p1	TRINITY_GG_15412_c0_g1_i15.p1
OG0002954	TRINITY_GG_10332_c4_g1_i2.p1	TRINITY_GG_9482_c7_g1_i2.p1	TRINITY_GG_24729_c8_g1_i6.p1	TRINITY_GG_15412_c7_g1_i2.p1
OG0002955	TRINITY_GG_10332_c6_g1_i8.p1	TRINITY_GG_9482_c11_g1_i18.p1	TRINITY_GG_24729_c7_g1_i27.p1	TRINITY_GG_15412_c5_g1_i5.p1
OG0002956	TRINITY_GG_10332_c9_g1_i13.p1	TRINITY_GG_9482_c0_g1_i11.p1	TRINITY_GG_24729_c2_g1_i5.p1	TRINITY_GG_15412_c3_g1_i12.p1
OG0002957	TRINITY_GG_1033_c0_g1_i55.p1	TRINITY_GG_23790_c2_g1_i1.p1	TRINITY_GG_13368_c1_g1_i28.p1	TRINITY_GG_20814_c0_g2_i1.p1
OG0002958	TRINITY_GG_1033_c2_g1_i1.p1	TRINITY_GG_23790_c5_g1_i2.p1	TRINITY_GG_13368_c2_g1_i1.p1	TRINITY_GG_20813_c6_g1_i1.p1
OG0002959	TRINITY_GG_1033_c3_g1_i1.p1	TRINITY_GG_23790_c4_g1_i1.p1	TRINITY_GG_13368_c0_g1_i13.p1	TRINITY_GG_20814_c0_g1_i8.p1
OG0002960	TRINITY_GG_10368_c1_g1_i1.p1	TRINITY_GG_16801_c0_g1_i1.p1	TRINITY_GG_9983_c1_g1_i1.p1	TRINITY_GG_26305_c1_g1_i2.p1
OG0002961	TRINITY_GG_10370_c0_g1_i4.p1	TRINITY_GG_16802_c0_g1_i2.p1	TRINITY_GG_9982_c0_g1_i2.p1	TRINITY_GG_26301_c0_g1_i1.p1
OG0002962	TRINITY_GG_10385_c0_g1_i1.p1	TRINITY_GG_26036_c0_g1_i4.p1	TRINITY_GG_34486_c0_g1_i3.p1	TRINITY_GG_17644_c0_g1_i2.p1
OG0002963	TRINITY_GG_10385_c0_g2_i3.p2	TRINITY_GG_26035_c0_g1_i1.p1	TRINITY_GG_34483_c0_g1_i3.p1	TRINITY_GG_17646_c0_g1_i2.p1
OG0002964	TRINITY_GG_10387_c0_g2_i1.p1	TRINITY_GG_16792_c0_g1_i1.p1	TRINITY_GG_3296_c0_g2_i2.p1	TRINITY_GG_4763_c0_g1_i2.p1
OG0002965	TRINITY_GG_10396_c0_g1_i54.p2	TRINITY_GG_27619_c0_g1_i5.p1	TRINITY_GG_5406_c0_g1_i4.p1	TRINITY_GG_15239_c0_g1_i2.p1
OG0002966	TRINITY_GG_10396_c0_g1_i54.p1	TRINITY_GG_27619_c10_g1_i3.p1	TRINITY_GG_5406_c2_g2_i2.p1	TRINITY_GG_15239_c9_g1_i14.p1
OG0002967	TRINITY_GG_10396_c1_g1_i5.p1	TRINITY_GG_27619_c3_g1_i6.p1	TRINITY_GG_5406_c3_g1_i6.p1	TRINITY_GG_15239_c1_g1_i1.p1
OG0002968	TRINITY_GG_10397_c0_g3_i7.p1	TRINITY_GG_27619_c4_g1_i23.p1	TRINITY_GG_5404_c0_g1_i2.p1	TRINITY_GG_15239_c2_g1_i2.p1
OG0002969	TRINITY_GG_10397_c1_g1_i1.p1	TRINITY_GG_27619_c1_g1_i2.p1	TRINITY_GG_5406_c4_g1_i3.p1	TRINITY_GG_15239_c3_g2_i3.p1
OG0002970	TRINITY_GG_10397_c3_g1_i3.p1	TRINITY_GG_27619_c13_g1_i1.p1	TRINITY_GG_5404_c2_g1_i1.p1	TRINITY_GG_15239_c18_g2_i1.p1
OG0002971	TRINITY_GG_103_c1_g1_i5.p1	TRINITY_GG_12789_c1_g2_i44.p2	TRINITY_GG_9687_c10_g1_i10.p1	TRINITY_GG_17920_c1_g1_i28.p2
OG0002972	TRINITY_GG_10400_c0_g1_i1.p3	TRINITY_GG_27619_c8_g1_i1.p1	TRINITY_GG_5404_c3_g1_i2.p3	TRINITY_GG_15240_c0_g1_i1.p3
OG0002973	TRINITY_GG_10404_c3_g1_i1.p1	TRINITY_GG_15198_c0_g1_i4.p1	TRINITY_GG_5583_c0_g1_i1.p1	TRINITY_GG_10763_c0_g1_i1.p1
OG0002975	TRINITY_GG_1040_c0_g1_i31.p1	TRINITY_GG_15432_c1_g1_i18.p2	TRINITY_GG_33512_c0_g1_i21.p2	TRINITY_GG_25507_c0_g1_i3.p1
OG0002976	TRINITY_GG_10410_c0_g1_i1.p1	TRINITY_GG_15202_c0_g1_i2.p1	TRINITY_GG_5582_c0_g1_i5.p1	TRINITY_GG_10754_c0_g1_i2.p1
OG0002977	TRINITY_GG_10413_c0_g1_i10.p2	TRINITY_GG_15196_c0_g1_i31.p2	TRINITY_GG_5588_c0_g1_i50.p2	TRINITY_GG_10759_c0_g1_i31.p2
OG0002978	TRINITY_GG_10413_c1_g1_i14.p1	TRINITY_GG_15196_c1_g1_i12.p1	TRINITY_GG_5588_c1_g1_i11.p1	TRINITY_GG_10759_c13_g1_i8.p1
OG0002979	TRINITY_GG_10420_c1_g1_i2.p1	TRINITY_GG_14613_c1_g1_i16.p1	TRINITY_GG_3151_c0_g1_i14.p1	TRINITY_GG_18389_c2_g1_i1.p1
OG0002980	TRINITY_GG_10420_c1_g1_i2.p2	TRINITY_GG_14613_c1_g1_i16.p2	TRINITY_GG_3151_c0_g1_i14.p2	TRINITY_GG_18389_c0_g1_i12.p1
OG0002981	TRINITY_GG_10448_c0_g2_i12.p1	TRINITY_GG_5067_c0_g2_i3.p1	TRINITY_GG_33430_c0_g1_i9.p1	TRINITY_GG_27760_c0_g3_i3.p1
OG0002982	TRINITY_GG_10463_c0_g1_i80.p1	TRINITY_GG_2832_c1_g1_i5.p1	TRINITY_GG_24598_c2_g2_i4.p1	TRINITY_GG_6344_c2_g2_i28.p1
OG0002983	TRINITY_GG_10463_c2_g1_i2.p1	TRINITY_GG_2832_c5_g4_i4.p1	TRINITY_GG_24598_c3_g1_i1.p2	TRINITY_GG_6344_c3_g2_i1.p1
OG0002984	TRINITY_GG_10463_c4_g1_i16.p2	TRINITY_GG_2832_c6_g1_i11.p2	TRINITY_GG_24600_c0_g1_i38.p2	TRINITY_GG_6344_c4_g1_i2.p2
