Orthogroup	kohalensis	neospisa	paranigra	spisa	termite
OG0002979	TRINITY_GG_10159_c0_g1_i2.p1	TRINITY_GG_15529_c24_g1_i2.p1	TRINITY_GG_27922_c12_g1_i5.p1	TRINITY_GG_19985_c2_g1_i4.p1	A0A067R5S9|unreviewed|Uncharacterized
OG0002980	TRINITY_GG_10159_c1_g1_i1.p1	TRINITY_GG_15529_c2_g2_i1.p1	TRINITY_GG_27922_c1_g1_i1.p1	TRINITY_GG_19985_c3_g1_i1.p1	A0A067QQL3|unreviewed|DNA
OG0002981	TRINITY_GG_10160_c0_g1_i29.p3	TRINITY_GG_15531_c2_g1_i13.p3	TRINITY_GG_27923_c1_g1_i7.p3	TRINITY_GG_19984_c2_g1_i13.p3	A0A067R3P9|unreviewed|GATOR
OG0002982	TRINITY_GG_10160_c0_g1_i29.p2	TRINITY_GG_15531_c2_g1_i13.p2	TRINITY_GG_27923_c1_g1_i7.p2	TRINITY_GG_19984_c2_g1_i13.p2	A0A067RCX2|unreviewed|Helicase
OG0002983	TRINITY_GG_10160_c1_g1_i21.p1	TRINITY_GG_15531_c1_g1_i1.p1	TRINITY_GG_27923_c8_g1_i14.p1	TRINITY_GG_19984_c0_g1_i11.p1	A0A067QWQ4|unreviewed|Coiled-coil
OG0002984	TRINITY_GG_10160_c2_g2_i5.p1	TRINITY_GG_15531_c4_g1_i7.p1	TRINITY_GG_27923_c3_g1_i7.p1	TRINITY_GG_19982_c1_g1_i4.p1	A0A067RFJ5|unreviewed|ETS-like
OG0002985	TRINITY_GG_10160_c3_g1_i15.p2	TRINITY_GG_15531_c3_g1_i9.p2	TRINITY_GG_27923_c2_g1_i24.p2	TRINITY_GG_19984_c3_g1_i43.p2	A0A067R407|unreviewed|ATP
OG0002986	TRINITY_GG_10160_c4_g1_i4.p1	TRINITY_GG_15531_c6_g2_i2.p1	TRINITY_GG_27923_c7_g1_i18.p1	TRINITY_GG_19984_c12_g2_i1.p1	A0A067R5D2|unreviewed|Aminoacyl-tRNA
OG0002987	TRINITY_GG_10162_c0_g2_i5.p1	TRINITY_GG_15529_c1_g1_i8.p1	TRINITY_GG_27922_c2_g1_i3.p1	TRINITY_GG_19985_c0_g1_i7.p1	A0A067RDK6|unreviewed|Uncharacterized
OG0002988	TRINITY_GG_10197_c0_g1_i21.p2	TRINITY_GG_10420_c0_g1_i42.p2	TRINITY_GG_17809_c0_g1_i65.p2	TRINITY_GG_14620_c0_g1_i55.p2	A0A067RAU1|unreviewed|60S
OG0002989	TRINITY_GG_10197_c0_g1_i21.p1	TRINITY_GG_10420_c0_g1_i42.p1	TRINITY_GG_17809_c0_g1_i65.p1	TRINITY_GG_14620_c0_g1_i55.p1	A0A067R1K8|unreviewed|YTH
OG0002990	TRINITY_GG_10197_c1_g1_i2.p1	TRINITY_GG_10420_c1_g1_i42.p1	TRINITY_GG_17809_c4_g1_i30.p1	TRINITY_GG_14620_c1_g1_i6.p1	A0A067R288|unreviewed|EF-hand
OG0002991	TRINITY_GG_10197_c2_g2_i9.p1	TRINITY_GG_10420_c3_g1_i8.p1	TRINITY_GG_17809_c2_g1_i4.p1	TRINITY_GG_14620_c2_g1_i15.p1	A0A067RE40|unreviewed|Dolichyl-phosphate-mannose--protein
OG0002992	TRINITY_GG_10197_c3_g1_i1.p1	TRINITY_GG_10420_c2_g1_i5.p1	TRINITY_GG_17809_c3_g1_i11.p1	TRINITY_GG_14618_c0_g1_i2.p1	A0A067RDE5|unreviewed|Very-long-chain
OG0002993	TRINITY_GG_10200_c0_g1_i3.p1	TRINITY_GG_20476_c0_g1_i22.p1	TRINITY_GG_34811_c0_g1_i38.p1	TRINITY_GG_27970_c0_g1_i15.p1	A0A067RIC6|unreviewed|PAS
OG0002994	TRINITY_GG_10200_c0_g1_i3.p2	TRINITY_GG_20476_c0_g1_i22.p2	TRINITY_GG_34811_c0_g1_i38.p2	TRINITY_GG_27970_c0_g1_i15.p2	A0A067RI52|unreviewed|Pept_C1
OG0002995	TRINITY_GG_10200_c0_g1_i3.p3	TRINITY_GG_20476_c0_g1_i22.p3	TRINITY_GG_34811_c0_g1_i38.p3	TRINITY_GG_27970_c0_g1_i15.p3	A0A067RH92|unreviewed|39S
OG0002996	TRINITY_GG_10210_c0_g1_i9.p2	TRINITY_GG_25449_c2_g3_i5.p2	TRINITY_GG_18086_c2_g1_i24.p1	TRINITY_GG_9904_c4_g1_i3.p1	A0A067RFU4|unreviewed|Hexosyltransferase|taxID_136037
OG0002997	TRINITY_GG_10210_c2_g1_i2.p1	TRINITY_GG_25449_c0_g1_i8.p2	TRINITY_GG_18086_c4_g1_i9.p2	TRINITY_GG_9904_c0_g1_i11.p2	A0A067RL10|unreviewed|Uncharacterized
OG0002998	TRINITY_GG_10210_c31_g1_i1.p1	TRINITY_GG_25449_c32_g1_i1.p1	TRINITY_GG_18086_c5_g1_i1.p1	TRINITY_GG_9904_c5_g1_i1.p1	A0A067RKD6|unreviewed|Inositol-1-monophosphatase|taxID_136037
OG0002999	TRINITY_GG_10210_c6_g1_i1.p1	TRINITY_GG_25449_c2_g3_i5.p3	TRINITY_GG_18086_c2_g1_i24.p2	TRINITY_GG_9904_c8_g1_i2.p1	A0A067R4A6|unreviewed|Inhibitor
OG0003000	TRINITY_GG_10214_c0_g1_i2.p1	TRINITY_GG_24468_c0_g1_i1.p1	TRINITY_GG_6170_c0_g1_i1.p1	TRINITY_GG_17959_c0_g1_i2.p1	A0A067R225|unreviewed|Uncharacterized
OG0003001	TRINITY_GG_10250_c1_g1_i4.p1	TRINITY_GG_27823_c2_g1_i2.p1	TRINITY_GG_25369_c0_g1_i1.p1	TRINITY_GG_12946_c0_g1_i3.p1	A0A067R4S6|unreviewed|Neural
OG0003002	TRINITY_GG_10260_c1_g1_i3.p1	TRINITY_GG_18677_c0_g1_i1.p1	TRINITY_GG_23363_c1_g1_i7.p1	TRINITY_GG_35890_c0_g1_i1.p1	A0A067QYJ3|unreviewed|Cell
OG0003003	TRINITY_GG_10262_c0_g1_i4.p1	TRINITY_GG_14853_c0_g1_i4.p1	TRINITY_GG_6951_c2_g1_i1.p1	TRINITY_GG_28861_c0_g1_i12.p1	A0A067R9G1|unreviewed|Growth
OG0003004	TRINITY_GG_10262_c2_g1_i8.p1	TRINITY_GG_14855_c0_g1_i3.p1	TRINITY_GG_6951_c0_g1_i2.p1	TRINITY_GG_28861_c1_g1_i3.p1	A0A067RA26|unreviewed|Centrosomal
OG0003005	TRINITY_GG_10289_c7_g1_i3.p1	TRINITY_GG_11589_c0_g1_i16.p1	TRINITY_GG_18564_c1_g1_i2.p1	TRINITY_GG_5337_c1_g1_i4.p1	A0A067QPQ4|unreviewed|E3
OG0003006	TRINITY_GG_10293_c0_g1_i3.p1	TRINITY_GG_7576_c0_g2_i3.p1	TRINITY_GG_28611_c0_g1_i2.p1	TRINITY_GG_14870_c0_g1_i2.p1	A0A067RC98|unreviewed|Aa_trans
OG0003007	TRINITY_GG_1031_c0_g1_i8.p1	TRINITY_GG_23790_c1_g2_i3.p1	TRINITY_GG_13367_c0_g1_i7.p1	TRINITY_GG_20813_c1_g2_i2.p1	A0A067RAD3|unreviewed|Nicolin-1|taxID_136037
OG0003008	TRINITY_GG_10321_c1_g2_i5.p2	TRINITY_GG_1440_c1_g1_i11.p2	TRINITY_GG_19648_c2_g1_i8.p2	TRINITY_GG_8591_c24_g1_i3.p2	A0A067QSH2|unreviewed|2Fe-2S
OG0003009	TRINITY_GG_10321_c1_g2_i5.p1	TRINITY_GG_1440_c1_g1_i11.p1	TRINITY_GG_19648_c2_g1_i8.p1	TRINITY_GG_8591_c24_g1_i3.p1	A0A067QRW9|unreviewed|UBA
OG0003010	TRINITY_GG_10324_c0_g1_i1.p1	TRINITY_GG_1436_c0_g1_i1.p1	TRINITY_GG_19648_c3_g1_i1.p1	TRINITY_GG_8591_c5_g1_i1.p1	A0A067R392|unreviewed|Phospholysine
OG0003011	TRINITY_GG_10325_c0_g1_i11.p1	TRINITY_GG_1431_c0_g1_i9.p1	TRINITY_GG_19650_c1_g1_i4.p1	TRINITY_GG_8598_c1_g1_i8.p1	A0A067QXD3|unreviewed|PAP2_C
OG0003012	TRINITY_GG_10325_c4_g1_i20.p1	TRINITY_GG_1431_c6_g1_i23.p1	TRINITY_GG_19650_c5_g1_i1.p1	TRINITY_GG_8598_c3_g1_i4.p1	A0A067RNW1|unreviewed|Nitric-oxide
OG0003014	TRINITY_GG_10328_c0_g1_i49.p1	TRINITY_GG_1430_c0_g1_i12.p1	TRINITY_GG_19649_c0_g1_i12.p1	TRINITY_GG_8594_c0_g1_i154.p1	A0A067R550|unreviewed|Uncharacterized
OG0003015	TRINITY_GG_10328_c2_g1_i11.p1	TRINITY_GG_1432_c0_g1_i2.p1	TRINITY_GG_19653_c0_g1_i14.p1	TRINITY_GG_8591_c2_g1_i1.p1	A0A067RFG3|unreviewed|CLIP
OG0003016	TRINITY_GG_10330_c0_g1_i4.p1	TRINITY_GG_1436_c2_g1_i6.p1	TRINITY_GG_19653_c1_g1_i9.p1	TRINITY_GG_8591_c4_g1_i19.p1	A0A067R179|unreviewed|tRNA
OG0003017	TRINITY_GG_10331_c2_g1_i9.p2	TRINITY_GG_9480_c1_g1_i5.p2	TRINITY_GG_24728_c0_g1_i8.p2	TRINITY_GG_15411_c1_g1_i12.p2	A0A067R0R0|unreviewed|Vesicle
OG0003018	TRINITY_GG_10331_c2_g1_i9.p1	TRINITY_GG_9480_c1_g1_i5.p1	TRINITY_GG_24728_c0_g1_i8.p1	TRINITY_GG_15411_c1_g1_i12.p1	A0A067RME8|unreviewed|Electron
OG0003019	TRINITY_GG_10332_c14_g1_i16.p1	TRINITY_GG_9482_c7_g2_i13.p1	TRINITY_GG_24729_c5_g1_i5.p1	TRINITY_GG_15412_c4_g1_i4.p1	A0A067R3C2|unreviewed|Neuronal
OG0003020	TRINITY_GG_10332_c2_g1_i1.p1	TRINITY_GG_9482_c2_g1_i3.p1	TRINITY_GG_24729_c3_g1_i2.p1	TRINITY_GG_15412_c1_g1_i4.p1	A0A067RQG6|unreviewed|60S
OG0003021	TRINITY_GG_10332_c4_g1_i2.p1	TRINITY_GG_9482_c7_g1_i2.p1	TRINITY_GG_24729_c8_g1_i6.p1	TRINITY_GG_15412_c7_g1_i2.p1	A0A067R5Y6|unreviewed|Mediator
OG0003022	TRINITY_GG_10332_c6_g1_i8.p1	TRINITY_GG_9482_c11_g1_i18.p1	TRINITY_GG_24729_c7_g1_i27.p1	TRINITY_GG_15412_c5_g1_i5.p1	A0A067R5Q1|unreviewed|CRAL-TRIO
OG0003023	TRINITY_GG_10332_c9_g1_i13.p1	TRINITY_GG_9482_c0_g1_i11.p1	TRINITY_GG_24729_c2_g1_i5.p1	TRINITY_GG_15412_c3_g1_i12.p1	A0A067QW05|unreviewed|Torsin-2A|taxID_136037
OG0003024	TRINITY_GG_1033_c2_g1_i1.p1	TRINITY_GG_23790_c5_g1_i2.p1	TRINITY_GG_13368_c2_g1_i1.p1	TRINITY_GG_20813_c6_g1_i1.p1	A0A067QNP3|unreviewed|Alpha-mannosidase|taxID_136037
OG0003025	TRINITY_GG_10370_c0_g1_i4.p1	TRINITY_GG_16802_c0_g1_i2.p1	TRINITY_GG_9982_c0_g1_i2.p1	TRINITY_GG_26301_c0_g1_i1.p1	A0A067QZH4|unreviewed|Flavin-containing
OG0003026	TRINITY_GG_10385_c0_g1_i1.p1	TRINITY_GG_26036_c0_g1_i4.p1	TRINITY_GG_34486_c0_g1_i3.p1	TRINITY_GG_17644_c0_g1_i2.p1	A0A067QWY7|unreviewed|Uncharacterized
OG0003027	TRINITY_GG_10385_c0_g2_i3.p1	TRINITY_GG_26035_c0_g1_i1.p1	TRINITY_GG_34483_c0_g1_i3.p2	TRINITY_GG_17646_c0_g1_i2.p2	A0A067QJT8|unreviewed|Exportin-4|taxID_136037
OG0003028	TRINITY_GG_10396_c0_g1_i54.p2	TRINITY_GG_27619_c0_g1_i5.p1	TRINITY_GG_5406_c0_g1_i4.p1	TRINITY_GG_15239_c0_g1_i2.p1	A0A067RMG2|unreviewed|GTP_AMP
OG0003029	TRINITY_GG_10396_c0_g1_i54.p1	TRINITY_GG_27619_c10_g1_i3.p1	TRINITY_GG_5406_c2_g2_i2.p1	TRINITY_GG_15239_c9_g1_i14.p1	A0A067RD38|unreviewed|Cysteine
OG0003030	TRINITY_GG_10397_c1_g1_i1.p1	TRINITY_GG_27619_c1_g1_i2.p1	TRINITY_GG_5406_c4_g1_i3.p1	TRINITY_GG_15239_c3_g2_i3.p1	A0A067QUF3|unreviewed|Protein
OG0003031	TRINITY_GG_1040_c0_g1_i31.p1	TRINITY_GG_15432_c1_g1_i18.p2	TRINITY_GG_33512_c0_g1_i21.p2	TRINITY_GG_25507_c0_g1_i3.p1	A0A067RFZ8|unreviewed|Glutaredoxin
OG0003032	TRINITY_GG_10413_c1_g1_i14.p1	TRINITY_GG_15196_c1_g1_i12.p1	TRINITY_GG_5588_c1_g1_i11.p1	TRINITY_GG_10759_c13_g1_i8.p1	A0A067QT92|unreviewed|NADPH
OG0003033	TRINITY_GG_10420_c1_g1_i2.p1	TRINITY_GG_14613_c1_g1_i16.p1	TRINITY_GG_3151_c0_g1_i14.p1	TRINITY_GG_18389_c2_g1_i1.p1	A0A067QZ89|unreviewed|BZIP
OG0003034	TRINITY_GG_10446_c0_g1_i1.p1	TRINITY_GG_5064_c0_g1_i2.p1	TRINITY_GG_33429_c5_g1_i1.p1	TRINITY_GG_27762_c0_g1_i2.p1	A0A067R1P5|unreviewed|Sushi_
OG0003035	TRINITY_GG_10448_c0_g2_i12.p1	TRINITY_GG_5067_c0_g2_i3.p1	TRINITY_GG_33430_c0_g1_i9.p1	TRINITY_GG_27760_c0_g3_i3.p1	A0A067RDN3|unreviewed|Rab-GAP
OG0003038	TRINITY_GG_10463_c0_g1_i80.p1	TRINITY_GG_2832_c1_g1_i5.p1	TRINITY_GG_24598_c2_g2_i4.p1	TRINITY_GG_6344_c2_g2_i28.p1	A0A067RD45|unreviewed|BTB
OG0003039	TRINITY_GG_10463_c4_g1_i16.p2	TRINITY_GG_2832_c6_g1_i11.p2	TRINITY_GG_24600_c0_g1_i38.p2	TRINITY_GG_6344_c4_g1_i2.p2	A0A067QSM3|unreviewed|Vacuolar
OG0003040	TRINITY_GG_10463_c4_g1_i16.p1	TRINITY_GG_2832_c6_g1_i11.p1	TRINITY_GG_24600_c0_g1_i38.p1	TRINITY_GG_6344_c4_g1_i2.p1	A0A067QLN4|unreviewed|Peptidylprolyl
OG0003041	TRINITY_GG_10463_c62_g2_i1.p1	TRINITY_GG_2832_c14_g1_i3.p1	TRINITY_GG_24598_c6_g1_i1.p1	TRINITY_GG_6344_c15_g1_i1.p1	A0A067QQ74|unreviewed|Phosphorylated
OG0003042	TRINITY_GG_10482_c0_g1_i12.p1	TRINITY_GG_32799_c0_g1_i3.p1	TRINITY_GG_7525_c0_g1_i1.p1	TRINITY_GG_15972_c0_g1_i10.p1	A0A067QH25|unreviewed|Lipoyl
OG0003043	TRINITY_GG_10498_c0_g1_i21.p1	TRINITY_GG_25488_c2_g1_i10.p1	TRINITY_GG_33467_c1_g1_i5.p1	TRINITY_GG_16580_c1_g1_i6.p1	A0A067R8X2|unreviewed|BTB
OG0003045	TRINITY_GG_10515_c4_g1_i3.p1	TRINITY_GG_23086_c3_g1_i5.p1	TRINITY_GG_985_c4_g1_i2.p1	TRINITY_GG_23747_c11_g3_i2.p1	A0A067QNL7|unreviewed|Centrin-1|taxID_136037
OG0003046	TRINITY_GG_10523_c0_g1_i4.p1	TRINITY_GG_8940_c16_g1_i24.p1	TRINITY_GG_31839_c0_g1_i4.p1	TRINITY_GG_20284_c1_g1_i4.p1	A0A067RHV8|unreviewed|Double-stranded
OG0003047	TRINITY_GG_10523_c6_g1_i7.p1	TRINITY_GG_8940_c0_g1_i6.p1	TRINITY_GG_31839_c1_g1_i3.p1	TRINITY_GG_20284_c0_g1_i5.p1	A0A067RA20|unreviewed|Adenylyl
OG0003049	TRINITY_GG_10587_c0_g1_i1.p1	TRINITY_GG_4263_c3_g2_i2.p1	TRINITY_GG_9753_c1_g1_i1.p1	TRINITY_GG_11675_c1_g1_i2.p1	A0A067RD76|unreviewed|UDPGT
OG0003052	TRINITY_GG_10623_c0_g1_i3.p1	TRINITY_GG_23653_c0_g1_i6.p1	TRINITY_GG_16839_c0_g1_i12.p1	TRINITY_GG_16982_c0_g1_i3.p1	A0A067QW28|unreviewed|POU
OG0003053	TRINITY_GG_10625_c3_g2_i2.p1	TRINITY_GG_23642_c4_g1_i1.p1	TRINITY_GG_16840_c2_g1_i1.p1	TRINITY_GG_16974_c4_g1_i1.p1	A0A067RRV0|unreviewed|TRASH
OG0003054	TRINITY_GG_10653_c1_g1_i7.p1	TRINITY_GG_22426_c3_g1_i24.p1	TRINITY_GG_14293_c1_g1_i6.p1	TRINITY_GG_6187_c1_g1_i51.p1	A0A067R6Y8|unreviewed|SAS-6_N
OG0003059	TRINITY_GG_10678_c0_g1_i6.p1	TRINITY_GG_11424_c0_g1_i1.p1	TRINITY_GG_32148_c0_g1_i11.p1	TRINITY_GG_4840_c0_g1_i4.p1	A0A067RGN9|unreviewed|RBR-type
OG0003060	TRINITY_GG_10680_c0_g1_i1.p1	TRINITY_GG_11428_c0_g1_i8.p1	TRINITY_GG_32151_c0_g1_i13.p1	TRINITY_GG_4841_c0_g1_i7.p1	A0A067QIY2|unreviewed|ABC-type
OG0003061	TRINITY_GG_10683_c0_g1_i15.p1	TRINITY_GG_17698_c7_g1_i8.p1	TRINITY_GG_5191_c0_g1_i4.p1	TRINITY_GG_14511_c4_g1_i11.p1	A0A067R4M3|unreviewed|Transcription
OG0003062	TRINITY_GG_10683_c1_g1_i2.p1	TRINITY_GG_17698_c2_g1_i40.p1	TRINITY_GG_5191_c8_g1_i7.p1	TRINITY_GG_14511_c1_g1_i26.p1	A0A067RUU4|unreviewed|Utp12
OG0003063	TRINITY_GG_10683_c1_g1_i2.p2	TRINITY_GG_17698_c2_g1_i40.p2	TRINITY_GG_5191_c8_g2_i4.p1	TRINITY_GG_14511_c1_g1_i26.p2	A0A067RF74|unreviewed|Alpha-1_3-glucosyltransferase|taxID_136037
OG0003065	TRINITY_GG_10683_c3_g1_i4.p1	TRINITY_GG_17698_c0_g1_i6.p1	TRINITY_GG_5191_c10_g1_i12.p1	TRINITY_GG_14511_c9_g1_i5.p1	A0A067RQH6|unreviewed|Thioredoxin
OG0003066	TRINITY_GG_10683_c4_g1_i29.p2	TRINITY_GG_17698_c19_g1_i65.p2	TRINITY_GG_5191_c1_g1_i13.p2	TRINITY_GG_14511_c3_g1_i11.p2	A0A067R4G5|unreviewed|WD
OG0003067	TRINITY_GG_10683_c4_g1_i29.p1	TRINITY_GG_17698_c19_g1_i65.p1	TRINITY_GG_5191_c1_g1_i13.p1	TRINITY_GG_14511_c3_g1_i11.p1	A0A067QJN8|unreviewed|Cytoplasmic
OG0003068	TRINITY_GG_10683_c5_g1_i38.p2	TRINITY_GG_17698_c4_g1_i12.p1	TRINITY_GG_5191_c4_g1_i9.p1	TRINITY_GG_14511_c0_g1_i12.p1	A0A067QYY8|unreviewed|Anaphase-promoting
OG0003069	TRINITY_GG_10683_c7_g1_i10.p1	TRINITY_GG_17698_c3_g1_i99.p1	TRINITY_GG_5191_c2_g1_i52.p1	TRINITY_GG_14511_c2_g1_i11.p1	A0A067R1R3|unreviewed|Integrator
OG0003070	TRINITY_GG_10683_c8_g1_i1.p1	TRINITY_GG_17698_c6_g1_i2.p1	TRINITY_GG_5191_c9_g1_i4.p1	TRINITY_GG_14511_c85_g1_i1.p1	A0A067QMQ5|unreviewed|Putative
OG0003071	TRINITY_GG_10683_c8_g3_i3.p1	TRINITY_GG_17698_c8_g1_i5.p1	TRINITY_GG_5189_c0_g1_i2.p1	TRINITY_GG_14511_c10_g1_i1.p1	A0A067QU53|unreviewed|Post-GPI
OG0003073	TRINITY_GG_10697_c8_g1_i1.p1	TRINITY_GG_12888_c1_g1_i1.p1	TRINITY_GG_20371_c0_g1_i1.p1	TRINITY_GG_24962_c2_g1_i1.p1	A0A067QGC4|unreviewed|Endocuticle
OG0003075	TRINITY_GG_10727_c0_g1_i3.p1	TRINITY_GG_21562_c0_g1_i14.p1	TRINITY_GG_9058_c0_g1_i17.p1	TRINITY_GG_2384_c3_g1_i23.p1	A0A067R9M2|unreviewed|Nuclear
OG0003079	TRINITY_GG_10746_c0_g1_i31.p1	TRINITY_GG_9385_c0_g1_i14.p1	TRINITY_GG_7285_c0_g1_i4.p1	TRINITY_GG_22499_c1_g1_i3.p1	A0A067RM51|unreviewed|Uncharacterized
OG0003080	TRINITY_GG_10746_c0_g1_i31.p2	TRINITY_GG_9385_c0_g1_i14.p2	TRINITY_GG_7285_c0_g1_i4.p2	TRINITY_GG_22499_c1_g1_i3.p2	A0A067RGZ3|unreviewed|HYPK_UBA
OG0003083	TRINITY_GG_10769_c8_g1_i7.p1	TRINITY_GG_30182_c2_g1_i2.p1	TRINITY_GG_32055_c4_g1_i2.p3	TRINITY_GG_16594_c2_g1_i5.p1	A0A067R6T6|unreviewed|CBF
OG0003084	TRINITY_GG_10769_c8_g2_i5.p1	TRINITY_GG_30182_c2_g1_i2.p2	TRINITY_GG_32055_c4_g1_i2.p1	TRINITY_GG_16594_c1_g1_i1.p1	A0A067R4Q2|unreviewed|Casein
OG0003086	TRINITY_GG_10779_c0_g1_i6.p1	TRINITY_GG_31679_c0_g1_i4.p1	TRINITY_GG_7047_c0_g1_i6.p1	TRINITY_GG_18238_c1_g1_i4.p1	A0A067RLA4|unreviewed|Outer
OG0003087	TRINITY_GG_10779_c3_g1_i9.p1	TRINITY_GG_31676_c1_g1_i2.p1	TRINITY_GG_7047_c9_g1_i5.p1	TRINITY_GG_18238_c3_g1_i2.p1	A0A067QL05|unreviewed|RAP
OG0003088	TRINITY_GG_10779_c5_g1_i2.p1	TRINITY_GG_31677_c1_g1_i5.p1	TRINITY_GG_7047_c4_g1_i1.p1	TRINITY_GG_18240_c1_g1_i2.p1	A0A067R1U5|unreviewed|Poly_ADP-ribose_
OG0003089	TRINITY_GG_107_c0_g1_i4.p2	TRINITY_GG_18850_c1_g1_i2.p2	TRINITY_GG_15228_c2_g2_i8.p2	TRINITY_GG_31633_c2_g1_i3.p2	A0A067QXA9|unreviewed|Uncharacterized
OG0003090	TRINITY_GG_107_c0_g1_i4.p1	TRINITY_GG_18850_c1_g1_i2.p1	TRINITY_GG_15228_c2_g2_i8.p1	TRINITY_GG_31633_c2_g1_i3.p1	A0A067QKQ3|unreviewed|Telomerase-binding
OG0003091	TRINITY_GG_107_c1_g1_i1.p2	TRINITY_GG_18850_c0_g1_i3.p2	TRINITY_GG_15228_c1_g1_i2.p2	TRINITY_GG_31633_c0_g1_i6.p1	A0A067R4Y4|unreviewed|Uncharacterized
OG0003092	TRINITY_GG_107_c3_g1_i4.p1	TRINITY_GG_18852_c0_g2_i1.p2	TRINITY_GG_15228_c7_g1_i1.p1	TRINITY_GG_31633_c4_g1_i2.p1	A0A067R6G4|unreviewed|Uncharacterized
OG0003093	TRINITY_GG_10867_c0_g1_i4.p1	TRINITY_GG_32682_c1_g1_i5.p1	TRINITY_GG_35508_c1_g1_i9.p1	TRINITY_GG_9853_c2_g1_i3.p1	A0A067R0W5|unreviewed|Protein
OG0003095	TRINITY_GG_10868_c0_g1_i6.p1	TRINITY_GG_32682_c3_g1_i1.p1	TRINITY_GG_35508_c0_g1_i1.p1	TRINITY_GG_9853_c3_g1_i2.p1	A0A067R0K0|unreviewed|Toll-interacting
OG0003096	TRINITY_GG_10870_c1_g1_i3.p1	TRINITY_GG_32681_c0_g1_i3.p1	TRINITY_GG_35509_c0_g1_i15.p1	TRINITY_GG_9854_c0_g1_i11.p1	A0A067QR95|unreviewed|60S
OG0003097	TRINITY_GG_10870_c2_g1_i22.p1	TRINITY_GG_32681_c4_g2_i2.p1	TRINITY_GG_35509_c3_g1_i4.p1	TRINITY_GG_9854_c3_g2_i1.p1	A0A067QWD2|unreviewed|Transaldolase|taxID_136037
OG0003098	TRINITY_GG_10870_c3_g1_i27.p1	TRINITY_GG_32681_c5_g1_i57.p1	TRINITY_GG_35509_c2_g1_i19.p1	TRINITY_GG_9854_c1_g1_i28.p1	A0A067QGS4|unreviewed|Protein-tyrosine-phosphatase|taxID_136037
OG0003099	TRINITY_GG_10870_c4_g1_i16.p2	TRINITY_GG_32681_c2_g2_i4.p1	TRINITY_GG_35509_c1_g1_i2.p1	TRINITY_GG_9854_c2_g1_i7.p1	A0A067QH30|unreviewed|Thymidine
OG0003100	TRINITY_GG_10872_c0_g2_i15.p2	TRINITY_GG_13394_c28_g1_i2.p1	TRINITY_GG_7917_c5_g1_i1.p1	TRINITY_GG_31936_c3_g1_i6.p1	A0A067QVD3|unreviewed|Cleft
OG0003101	TRINITY_GG_10872_c18_g1_i38.p1	TRINITY_GG_13394_c1_g1_i30.p1	TRINITY_GG_7917_c2_g1_i15.p1	TRINITY_GG_31936_c1_g1_i27.p1	A0A067QZC3|unreviewed|Nuclear
