Scaffold	pos_reanalysis	LOD_reanalysis	size	LG	start_position	end_position	id_source	peak_location_reanalysis	scaffold_type_reanalysis	peak_location_finemap	scaffold_type_finemap	peak_location_reuse	scaffold_type_reuse
Lko057S010879	89.700049	1.826661959	24574	chr2	30796512	30821086	PruKoh					104	CI
Lko057S002243			419292	chr2	31831798	32251090	PruKoh					104	CI
Lko057S000819	89.700046	1.826661944	445293	chr2	34557681	35002974	KonPar					60	CI
Lko057S003202			859865	chr2	35003074	35862939	KonPar + PruKoh					60; 104	CI; CI
Lko057S001230			511250	chr2	35863039	36374289	KonPar					60	CI
Lko057S002839			1112802	chr2	36374389	37487191	KonPar + PruKoh					60; 104	CI; CI
Lko057S003094			188997	chr2	37709101	37898098	PruKoh					104	CI
Lko057S002376	71.400031	1.953450913	745225	chr2	37937300	38682525	Reanalysis 	2@165.6	CI				
Lko057S000279			2140604	chr2	38347250	40487854	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S010869			131283	chr2	40487954	40619237	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S003182			692199	chr2	40619337	41311536	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S001881	89.400044	1.717711153	886001	chr2	41311636	42197637	Reanalysis 	2@165.6	CI				
Lko057S002120			608240	chr2	41938809	42547049	Reanalysis 	2@165.6	CI				
Lko057S005061			150632	chr2	42197737	42348369	Reanalysis 	2@165.6	CI				
Lko057S000588			2033129	chr2	42348469	44381598	Reanalysis 	2@165.6	CI				
Lko057S005490	89.400043	1.717711153	349221	chr2	44381698	44730919	Reanalysis 	2@165.6	CI				
Lko057S013373	89.400042	1.717711159	205667	chr2	44731019	44936686	Reanalysis 	2@165.6	CI				
Lko057S003118	89.100041	1.714039673	445872	chr2	44936786	45382658	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S003079	89.700047	1.826661959	218843	chr2	45382758	45601601	Reanalysis + KonPar + PruKoh	2@165.6	CI			60; 104	CI; CI
Lko057S004663			105842	chr2	45601701	45707543	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S002169			785912	chr2	45707643	46493555	Reanalysis + KonPar	2@165.6	CI			60	CI
Lko057S004070			505712	chr2	46493655	46999367	Reanalysis + KonPar	2@165.6	CI			60	CI
Lko057S000624			1106261	chr2	46999467	48105728	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S004769			703394	chr2	48105828	48809222	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S000517	81.900036	1.516383545	1864117	chr2	48809322	50673439	Reanalysis + KonPar + PruKoh	2@165.6	CI			60; 104	peak; CI
Lko057S003735	89.70005	1.826661972	242011	chr2	49255056	49497067	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S000894			548487	chr2	50673539	51222026	Reanalysis 	2@165.6	CI				
Lko057S000434			413977	chr2	51222126	51636103	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S004579	89.10004	1.714039363	150323	chr2	51636203	51786526	Reanalysis 	2@165.6	CI				
Lko057S004045	86.300038	3.046478854	297699	chr2	51786626	52084325	Reanalysis 	2@165.6	CI				
Lko057S004890			311852	chr2	52084425	52396277	Reanalysis 	2@165.6	CI				
Lko057S001171			1250174	chr2	52638488	53888662	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S003168			632885	chr2	53888762	54521647	Reanalysis 	2@165.6	CI				
Lko057S004566	83.200037	1.666545107	224432	chr2	54521747	54746179	Reanalysis 	2@165.6	CI				
Lko057S008633	80.500035	1.322638888	320272	chr2	54746279	55066551	Reanalysis 	2@165.6	CI				
Lko057S000230			1491879	chr2	55066651	56558530	Reanalysis + KonPar	2@165.6	CI			60	CI
Lko057S005289	79.900034	1.616980999	556549	chr2	56558630	57115179	Reanalysis + KonPar	2@165.6	CI			60	CI
Lko057S004609			222791	chr2	57115279	57338070	Reanalysis 	2@165.6	CI				
Lko057S001532			370137	chr2	57338170	57708307	Reanalysis + PruKoh	2@165.6	CI			104	peak
Lko057S002877			170050	chr2	57708407	57878457	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S002456			367839	chr2	57878557	58246396	Reanalysis 	2@165.6	CI				
Lko057S004212			733141	chr2	58246496	58979637	Reanalysis + PruKoh	2@165.6	CI			104	CI
Lko057S006692			87514	chr2	58979737	59067251	Reanalysis 	2@165.6	CI				
Lko057S000045	77.500033	1.940337661	278944	chr2	59067351	59346295	Reanalysis 	2@165.6	CI				
Lko057S000138	74.200032	3.277943861	764010	chr2	59954735	60718745	Reanalysis 	2@165.6	peak				
Lko057S001602	146.600075	2.582515808	998405	chr2	99488416	100486821	CerEuk					71	CI
Lko057S000835	107.200079	12.19542165	925323	chr3	29315744	30241067	CerEuk					79.9	CI
Lko057S002774	87.000043	0.328985822	1449513	chr3	46259452	47708965	Reanalysis 	3@86.3	CI				
Lko057S000726	96.500057	13.59400512	1950601	chr3	47709065	49659666	Reanalysis + PruKoh	3@86.3	CI			61.5	peak
Lko057S000454			2212256	chr3	49659766	51872022	Reanalysis 	3@86.3	CI				
Lko057S000749			219417	chr3	51872122	52091539	Reanalysis 	3@86.3	CI				
Lko057S002699	91.700047	12.72494396	1021264	chr3	52091639	53112903	Reanalysis 	3@86.3	CI				
Lko057S000760			323352	chr3	53113003	53436355	Reanalysis 	3@86.3	CI				
Lko057S000958			259315	chr3	53436455	53695770	Reanalysis 	3@86.3	CI				
Lko057S005261	91.400046	12.95130353	500493	chr3	53695870	54196363	Reanalysis 	3@86.3	CI				
Lko057S002943			624065	chr3	54196463	54820528	Reanalysis 	3@86.3	CI				
Lko057S000266	95.60005	12.74021405	1652445	chr3	54820628	56473073	Reanalysis 	3@86.3	CI				
Lko057S002934	85.300035	0.67761634	589014	chr3	56473173	57062187	Reanalysis 	3@86.3	CI				
Lko057S000500			1509857	chr3	57062287	58572144	Reanalysis 	3@86.3	CI				
Lko057S004672			809258	chr3	58572244	59381502	Reanalysis 	3@86.3	CI				
Lko057S002851	85.600037	0.593023791	1001151	chr3	59381602	60382753	Reanalysis 	3@86.3	CI				
Lko057S004636	85.600036	0.593023796	98982	chr3	60382853	60481835	Reanalysis 	3@86.3	CI				
Lko057S001785	85.600038	0.593023791	863553	chr3	60481935	61345488	Reanalysis 	3@86.3	CI				
Lko057S008204			391936	chr3	61345588	61737524	Reanalysis 	3@86.3	CI				
Lko057S003289			739313	chr3	61737624	62476937	Reanalysis 	3@86.3	CI				
Lko057S005483	85.600039	0.593023787	362810	chr3	62477037	62839847	Reanalysis 	3@86.3	CI				
Lko057S003072	87.000042	0.32898615	464646	chr3	62839947	63304593	Reanalysis 	3@86.3	CI				
Lko057S000236	87.600044	0.366941239	1057387	chr3	63304693	64362080	Reanalysis 	3@86.3	CI				
Lko057S000529	86.30004	0.243280806	1998667	chr3	64101114	66099781	Reanalysis + KonPar	3@86.3	peak			79.1	CI
Lko057S004098	96.200053	12.81283813	918600	chr3	65685574	66604174	CerEuk					79.9	CI
Lko057S001173			436493	chr3	70760303	71196796	KonPar					79.1	peak
Lko057S005998			159514	chr3	73837526	73997040	KonPar					79.1	CI
Lko057S001177			1375220	chr3	74724733	76099953	CerEuk					79.9	CI
Lko057S002566	96.800059	13.36871566	593372	chr3	77929790	78523162	KonPar					79.1	CI
Lko057S003170	98.500063	14.2660615	1494677	chr3	82753291	84247968	CerEuk					79.9	CI
Lko057S000550	101.000065	13.02880434	1299937	chr3	92109033	93408970	CerEuk					79.9	CI
Lko057S005557			1038094	chr3	93409070	94447164	CerEuk					79.9	CI
Lko057S003534			913949	chr3	94447264	95361213	CerEuk					79.9	CI
Lko057S000212			985831	chr3	100012215	100998046	CerEuk					79.9	CI
Lko057S002879			799895	chr3	101453355	102253250	CerEuk					79.9	CI
Lko057S001265	108.600081	0.448403732	787353	chr3	106268157	107055510	CerEuk					79.9	CI
Lko057S000385	107.200078	12.19542168	1591986	chr3	107981033	109573019	CerEuk					79.9	peak
Lko057S002439			728141	chr3	112975894	113704035	CerEuk					79.9	CI
Lko057S000917			1026645	chr3	117828454	118855099	CerEuk					79.9	CI
Lko057S001412	69.500031	0.261161873	168157	chr4	6257451	6425608	CerEuk					59.8	CI
Lko057S000999			528188	chr4	6708490	7236678	CerEuk					59.8	CI
Lko057S000674			910072	chr4	7236778	8146850	CerEuk					59.8	CI
Lko057S000422			272335	chr4	8146950	8419285	CerEuk					59.8	CI
Lko057S001530			750010	chr4	9566221	10316231	CerEuk					59.8	CI
Lko057S010013			235270	chr4	14134718	14369988	CerEuk					59.8	CI
Lko057S000455	51.800026	0.236499772	1221628	chr4	15550916	16772544	CerEuk					59.8	CI
Lko057S002058	48.700025	11.66259933	820918	chr4	16772644	17593562	CerEuk					59.8	CI
Lko057S003111			1660236	chr4	19967979	21628215	PruKoh					81	CI
Lko057S001754			2406157	chr4	21990553	24396710	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S009434			669991	chr4	24396810	25066801	PruKoh					81	CI
Lko057S003635	42.90002	13.48289577	911059	chr4	25273267	26184326	CerEuk					79.9	CI
Lko057S001783			821416	chr4	26184426	27005842	CerEuk					59.8	CI
Lko057S002038	42.400018	13.61138192	730651	chr4	30521807	31252458	PruKoh					81	CI
Lko057S001277			1499998	chr4	33434738	34934736	PruKoh					81	CI
Lko057S000182	41.900016	13.74198175	2633517	chr4	34934836	37568353	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S006899			283343	chr4	37568453	37851796	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S000802			638967	chr4	37851896	38490863	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S002061			528848	chr4	38490963	39019811	CerEuk					59.8	CI
Lko057S001482			919171	chr4	39019911	39939082	PruKoh					81	CI
Lko057S001634			366166	chr4	39939182	40305348	PruKoh					81	CI
Lko057S001860			611190	chr4	40305448	40916638	PruKoh					81	CI
Lko057S000490			362468	chr4	40916738	41279206	PruKoh					81	CI
Lko057S001401	41.900017	13.74198058	1093907	chr4	44025770	45119677	PruKoh					81	CI
Lko057S001609			538938	chr4	45119777	45658715	PruKoh					81	CI
Lko057S001416			388711	chr4	45658815	46047526	PruKoh					81	CI
Lko057S003206			686042	chr4	47749590	48435632	PruKoh					81	CI
Lko057S001005			3495855	chr4	48083436	51579291	PruKoh					81	CI
Lko057S000900			1740339	chr4	51579391	53319730	CerEuk					59.8	CI
Lko057S014891			82026	chr4	53319830	53401856	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S006241			252221	chr4	53401956	53654177	PruKoh					81	CI
Lko057S014123			114000	chr4	53654277	53768277	PruKoh					81	CI
Lko057S000836			332981	chr4	53768377	54101358	CerEuk					59.8	CI
Lko057S000668			3877133	chr4	54659509	58536642	CerEuk + PruKoh					59.8; 81	CI; CI
Lko057S002690	40.800014	13.38028031	746223	chr4	58536742	59282965	Reanalysis 	4@39	CI				
Lko057S000590	40.800015	13.3800331	2193211	chr4	59283065	61476276	Reanalysis 	4@39	CI				
Lko057S002090	42.900019	13.48289638	2025849	chr4	60683147	62708996	Reanalysis + PruKoh	4@39	CI			81	peak
Lko057S002870			1347152	chr4	61476376	62823528	Reanalysis + PruKoh	4@39	CI			81	CI
Lko057S007758			957048	chr4	62823628	63780676	Reanalysis 	4@39	CI				
Lko057S003875	38.100013	13.69497268	42633	chr4	63780776	63823409	Reanalysis 	4@39	peak				
Lko057S000730	37.600012	12.21827137	676541	chr4	63823509	64500050	PruKoh					81	CI
Lko057S001614			753995	chr4	64874230	65628225	KonPar					49.9	CI
Lko057S001965			1221976	chr4	65628325	66850301	CerEuk + KonPar					59.8; 49.9	CI; peak
Lko057S000430	22.500011	3.632353159	1098171	chr5	11627554	12725725	CerEuk					36.9	CI
Lko057S004947			198345	chr5	13253100	13451445	CerEuk					36.9	
Lko057S000359	26.500015	23.49750678	725518	chr5	14754813	15480331	CerEuk					36.9	CI
Lko057S002687			193093	chr5	16476150	16669243	CerEuk					36.9	CI
Lko057S000366	26.900016	24.26252528	380527	chr5	17777561	18158088	CerEuk					36.9	CI
Lko057S000745	28.400021	26.67779175	1588023	chr5	20248991	21837014	Reanalysis + CerEuk	5@31	CI			36.9	CI
Lko057S000227			353191	chr5	21837114	22190305	Reanalysis 	5@31	CI				
Lko057S002944			593219	chr5	22190405	22783624	Reanalysis 	5@31	CI				
Lko057S002565	31.000023	29.94587503	246956	chr5	22783724	23030680	Reanalysis + CerEuk	5@31	peak			36.9	CI
Lko057S001954	31.000022	29.94587526	403468	chr5	23030780	23434248	Reanalysis 	5@31	peak				
Lko057S005976			409674	chr5	23434348	23844022	Reanalysis 	5@31	peak				
Lko057S002445	31.000025	29.94587474	518607	chr5	23844122	24362729	Reanalysis + CerEuk	5@31	peak			36.9	CI
Lko057S004683			62310	chr5	24362829	24425139	Reanalysis 	5@31	CI				
Lko057S002018			496697	chr5	24425239	24921936	Reanalysis 	5@31	CI				
Lko057S001129	49.200036	0.28886903	1390122	chr5	24532778	25922900	Reanalysis 	5@31	CI				
Lko057S004383			300496	chr5	24922036	25222532	Reanalysis + KonPar	5@31	CI			32.5	peak
Lko057S001451			211869	chr5	25222632	25434501	Reanalysis 	5@31	CI				
Lko057S001371			742400	chr5	25434601	26177001	Reanalysis + 4C.5 + 4C.9 + CerEuk	5@31	CI	20.7; 26.4	CI; CI	36.9	CI
Lko057S001239	31.600026	29.78416018	1197186	chr5	26177101	27374287	Reanalysis + 4C.5 + CerEuk	5@31	CI	20.7	CI	36.9	CI
Lko057S001044	32.800027	26.99186911	444585	chr5	27374387	27818972	Reanalysis + 4C.5	5@31	CI	20.7	CI		
Lko057S006506	38.20003	20.23712209	51921	chr5	27819072	27870993	Reanalysis + 4C.5 + 4C.9	5@31	CI	20.7; 26.4	CI; peak		
Lko057S000933			2003335	chr5	27871093	29874428	Reanalysis + 4C.5 + 4C.9 + 4E.1	5@31	CI	20.7; 26.4; 26.2	CI; CI; CI		
Lko057S001839	33.100028	26.48103239	1244094	chr5	29874528	31118622	Reanalysis + 4C.5	5@31	CI	20.7	peak		
Lko057S001390			407614	chr5	31118722	31526336	Reanalysis + 4C.5	5@31	CI	20.7	CI		
Lko057S000820			128875	chr5	31526436	31655311	Reanalysis + 4C.5	5@31	CI	20.7	CI		
Lko057S003497			400452	chr5	31655411	32055863	Reanalysis + 4C.5 + 4C.9	5@31	CI	20.7; 26.4	CI; CI		
Lko057S005519	40.600031	16.71908447	670496	chr5	32055963	32726459	Reanalysis + 4C.5	5@31	CI	20.7	CI		
Lko057S000305	45.500034	1.093532002	705451	chr5	32726559	33432010	Reanalysis 	5@31	CI				
Lko057S000565			513508	chr5	33432110	33945618	Reanalysis 	5@31	CI				
Lko057S010487			48226	chr5	33945718	33993944	Reanalysis 	5@31	CI				
Lko057S004564			1006555	chr5	33994044	35000599	Reanalysis 	5@31	CI				
Lko057S000979	47.200035	1.249591602	1278939	chr5	35000699	36279638	Reanalysis 	5@31	CI				
Lko057S005459	51.60004	0.236583095	369391	chr5	37669960	38039351	Reanalysis 	5@31	CI				
Lko057S007764			316400	chr5	38039451	38355851	Reanalysis 	5@31	CI				
Lko057S000091			1304474	chr5	38355951	39660425	Reanalysis 	5@31	CI				
Lko057S000180	51.600039	0.236583146	1237841	chr5	39660525	40898366	Reanalysis 	5@31	CI				
Lko057S000478			708437	chr5	40898466	41606903	Reanalysis 	5@31	CI				
Lko057S002429	53.200042	0.113812326	754764	chr5	41607003	42361767	Reanalysis 	5@31	CI				
Lko057S002143	28.400019	26.67788721	758935	chr5	41953747	42712682	Reanalysis 	5@31	CI				
Lko057S000562	21.60001	3.738172346	1136159	chr5	51949597	53085756	CerEuk					36.9	CI
Lko057S000770			800624	chr5	52458084	53258708	KonPar					57.6	peak
Lko057S007270	93.700064	0.293200684	391131	chr5	58049225	58440356	PruKoh					87	peak
Lko057S001185	50.500026	4.504100301	1501025	chr7	21869094	23370119	Reanalysis + KonPar	7@57	CI			47	peak
Lko057S003052			471710	chr7	21945779	22417489	Reanalysis 	7@57	CI				
Lko057S001907			606908	chr7	22417589	23024497	Reanalysis 	7@57	CI				
Lko057S001701			837172	chr7	23024597	23861769	Reanalysis 	7@57	CI				
Lko057S001018	47.700025	4.406317639	1224531	chr7	23370219	24594750	Reanalysis 	7@57	CI				
Lko057S000712	44.000023	4.243255331	2434269	chr7	23861869	26296138	Reanalysis 	7@57	CI				
Lko057S000450	46.400024	3.249996642	1461371	chr7	26296238	27757609	Reanalysis 	7@57	CI				
Lko057S003450			398681	chr7	27757709	28156390	Reanalysis 	7@57	CI				
Lko057S000195			839037	chr7	30805561	31644598	Reanalysis 	7@57	CI				
Lko057S002652			494844	chr7	30882246	31377090	Reanalysis 	7@57	CI				
Lko057S002087			601058	chr7	31377190	31978248	Reanalysis + KonPar	7@57	CI			47	CI
Lko057S003292			1010133	chr7	31644698	32654831	Reanalysis 	7@57	CI				
Lko057S003075			233418	chr7	31978348	32211766	Reanalysis + KonPar	7@57	CI			47	CI
Lko057S008198			69299	chr7	32211866	32281165	Reanalysis + KonPar	7@57	CI			47	CI
Lko057S002588	52.400027	3.348716504	745127	chr7	32281265	33026392	Reanalysis 	7@57	CI				
Lko057S002441			916807	chr7	33026492	33943299	Reanalysis + KonPar	7@57	CI			47	CI
Lko057S001071	53.800028	4.1571634	548680	chr7	33943399	34492079	Reanalysis + KonPar	7@57	CI			47	CI
Lko057S004702	55.000029	4.390880783	78282	chr7	34492179	34570461	Reanalysis 	7@57	CI				
Lko057S004853			58170	chr7	34570561	34628731	Reanalysis 	7@57	CI				
Lko057S001865			917304	chr7	34628831	35546135	Reanalysis 	7@57	CI				
Lko057S003063			312185	chr7	35546235	35858420	Reanalysis 	7@57	CI				
Lko057S000137			1233652	chr7	35858520	37092172	Reanalysis 	7@57	CI				
Lko057S001606			416907	chr7	37849585	38266492	Reanalysis 	7@57	CI				
Lko057S004540			712501	chr7	38038270	38750771	Reanalysis 	7@57	CI				
Lko057S004909	57.00003	4.622581173	1180700	chr7	38750871	39931571	Reanalysis 	7@57	peak				
Lko057S000677	27.200019	2.160681364	1618068	chr7	39314481	40932549	Reanalysis + KonPar	7@57	CI			87	peak
Lko057S010292	59.400031	3.697793195	380152	chr7	39931671	40311823	Reanalysis 	7@57	CI				
Lko057S004823			83859	chr7	40311923	40395782	Reanalysis 	7@57	CI				
Lko057S001259			181068	chr7	40395882	40576950	Reanalysis 	7@57	CI				
Lko057S001600			253312	chr7	40577050	40830362	Reanalysis 	7@57	CI				
Lko057S000252			616063	chr7	40830462	41446525	Reanalysis 	7@57	CI				
Lko057S004976			338519	chr7	41446625	41785144	Reanalysis 	7@57	CI				
Lko057S004935			485839	chr7	41785244	42271083	Reanalysis 	7@57	CI				
Lko057S004220	59.900032	3.343908039	1532843	chr7	42271183	43804026	Reanalysis 	7@57	CI				
Lko057S000913			1251995	chrX	9194768	10446763	CerEuk					38	CI
Lko057S001780			913889	chrX	10446863	11360752	CerEuk					38	CI
Lko057S000188			150790	chrX	14340525	14491315	CerEuk					38	CI
Lko057S003132			1219735	chrX	14491415	15711150	CerEuk					38	peak
Lko057S001105	23.800007	3.089968253	861785	chrX	15711250	16573035	PruKoh					14	CI
Lko057S001725			843407	chrX	17575193	18418600	CerEuk					38	CI
Lko057S003455	28.900008	2.512629987	1540389	chrX	18418700	19959089	PruKoh					14	peak
Lko057S000648	35.100013	10.4746212	2610233	chrX	33517397	36127630	Reanalysis 	X@41	CI				
Lko057S000765	35.100014	10.4746212	227630	chrX	36127730	36355360	Reanalysis 	X@41	CI				
Lko057S001873	36.800015	11.59997237	811639	chrX	36355460	37167099	Reanalysis 	X@41	CI				
Lko057S002033	36.800016	11.59997237	846943	chrX	37167199	38014142	Reanalysis 	X@41	CI				
Lko057S000183	38.500017	10.12553254	2283109	chrX	38014242	40297351	Reanalysis 	X@41	CI				
Lko057S000508			1302195	chrX	40297451	41599646	Reanalysis 	X@41	CI				
Lko057S002425			428777	chrX	41599746	42028523	Reanalysis 	X@41	CI				
Lko057S000504			536520	chrX	42028623	42565143	Reanalysis 	X@41	CI				
Lko057S000259	40.200018	9.623315068	1611907	chrX	42565243	44177150	Reanalysis 	X@41	peak				
Lko057S001241	40.200019	9.62331469	919230	chrX	44177250	45096480	Reanalysis 	X@41	peak				
Lko057S000211			366875	chrX	45096580	45463455	Reanalysis 	X@41	CI				
Lko057S000759			1885731	chrX	45463555	47349286	Reanalysis 	X@41	CI				
Lko057S003076			554539	chrX	47349386	47903925	Reanalysis 	X@41	CI				
Lko057S000893			1076130	chrX	47904025	48980155	Reanalysis 	X@41	CI				
Lko057S003084	42.50002	8.293328037	1405700	chrX	48980255	50385955	Reanalysis 	X@41	CI				
Lko057S001930	57.200032	0.073503643	3426692	chrX	86419280	89845972	KonPar					55	CI
Lko057S005630			1228685	chrX	89846072	91074757	KonPar					55	CI
Lko057S004832	58.400035	0.004881047	914016	chrX	91074857	91988873	KonPar					55	CI
Lko057S004078			1070948	chrX	93412098	94483046	KonPar					55	CI
Lko057S001055			1262014	chrX	94747287	96009301	KonPar					55	peak
Lko057S002003			957114	chrX	98538766	99495880	KonPar					55	CI
Lko057S000846													
Lko057S004233													
Lko057S002553													
Lko057S001672													
Lko057S000353													
Lko057S000625													
